EngagementID,EventDateKey,PlannedDateKey,StartDateKey,EndDateKey,DepartmentKey,PlanetKey,FactionKey,EngagementTypeKey,Status,FriendlyLosses,EnemyLosses,FriendlyCraftLost,EnemyCraftLost,OrdnanceExpended,DurationHours,SuperlaserStrike,PlanetDestroyed
ENG0000030,20200103,20191217,20200103,20200107,2,9,4,7,Won,125,324,2,4,132,14.5,No,No
ENG0000031,20200107,20191223,20200107,20200108,19,0,3,1,Won,32,111,1,1,24,7.8,No,No
ENG0000032,20200108,20200107,20200108,20200109,16,9,3,6,Won,44,128,0,0,35,14.5,No,No
ENG0000033,20200113,20200112,20200113,20200114,19,0,0,2,Won,11,0,0,0,24,4.0,No,No
ENG0000034,20200115,20200113,20200115,20200116,19,0,5,2,Won,19,26,0,0,8,6.6,No,No
ENG0000035,20200125,20200119,20200125,20200126,19,0,0,1,Won,8,0,0,0,23,7.9,No,No
ENG0000036,20200129,20200110,20200129,20200130,2,10,4,7,Won,156,250,1,1,109,7.7,No,No
ENG0000037,20200214,20200209,20200214,20200216,19,0,5,1,Won,72,127,2,2,20,2.9,No,No
ENG0000038,20200229,20200220,20200229,20200301,19,12,5,2,Won,13,40,1,2,39,6.2,No,No
ENG0000039,20200316,20200310,20200316,20200318,19,13,1,1,Aborted,14,22,3,5,8,1.7,No,No
ENG0000040,20200317,20200313,20200317,20200317,19,8,4,1,Won,20,51,0,0,46,7.5,No,No
ENG0000041,20200401,20200331,20200401,20200402,19,12,4,1,Won,28,63,0,0,61,5.8,No,No
ENG0000042,20200412,20200326,20200412,20200414,19,8,4,1,Lost,3,11,3,6,41,1.1,No,No
ENG0000043,20200420,20200417,20200420,20200422,19,11,4,2,Won,10,23,0,0,32,6.4,No,No
ENG0000044,20200504,20200414,20200504,20200507,5,14,3,4,Won,45,161,2,5,43,2.4,No,No
ENG0000045,20200506,20200503,20200506,20200507,19,12,6,1,Won,13,21,1,1,24,5.6,No,No
ENG0000046,20200517,20200511,20200517,20200519,19,11,7,3,Won,17,46,0,0,35,13.9,No,No
ENG0000047,20200519,20200502,20200519,20200521,19,11,6,1,Won,17,42,1,1,46,4.5,No,No
ENG0000048,20200604,20200601,20200604,20200607,16,12,1,6,Won,49,158,1,2,16,7.8,No,No
ENG0000049,20200610,20200602,20200610,20200612,19,13,5,2,Won,8,12,1,2,19,2.2,No,No
ENG0000050,20200611,20200608,20200611,20200611,19,0,0,2,Won,1,0,2,0,21,5.9,No,No
ENG0000051,20200612,20200609,20200612,20200613,5,9,3,4,Won,10,14,2,3,83,4.6,No,No
ENG0000052,20200613,20200527,20200613,20200615,19,11,4,1,Won,14,54,0,0,63,7.9,No,No
ENG0000053,20200614,20200603,20200614,20200616,19,11,1,3,Won,95,133,0,0,4,10.1,No,No
ENG0000054,20200618,20200530,20200618,20200619,16,8,1,8,Won,137,269,3,8,50,9.9,No,No
ENG0000055,20200624,20200622,20200624,20200625,19,12,4,1,Won,7,20,0,0,27,5.4,No,No
ENG0000056,20200702,20200624,20200702,20200704,19,0,4,2,Won,8,31,0,0,13,7.5,No,No
ENG0000057,20200707,20200701,20200707,20200707,19,12,4,1,Won,25,47,3,4,23,3.9,No,No
ENG0000058,20200718,20200708,20200718,20200720,16,12,2,8,Won,37,52,2,5,36,27.4,No,No
ENG0000059,20200719,20200711,20200719,20200721,19,7,4,2,Aborted,20,34,0,0,51,6.3,No,No
ENG0000060,20200731,20200727,20200731,20200802,19,8,4,3,Won,117,348,0,0,33,13.1,No,No
ENG0000061,20200802,20200727,20200802,20200802,19,13,1,1,Won,21,34,1,2,102,5.3,No,No
ENG0000062,20200804,20200727,20200804,20200805,16,9,1,8,Won,322,1078,4,11,232,28.8,No,No
ENG0000063,20200808,20200722,20200808,20200809,19,12,6,1,Won,11,28,0,0,9,5.6,No,No
ENG0000064,20200812,20200804,20200812,20200813,19,13,0,1,Lost,4,0,0,0,26,3.8,No,No
ENG0000065,20200818,20200814,20200818,20200820,19,0,4,2,Won,13,18,1,2,21,1.5,No,No
ENG0000066,20200824,20200819,20200824,20200824,19,12,6,3,Won,84,238,0,0,48,12.7,No,No
ENG0000067,20200829,20200824,20200829,20200830,19,0,6,1,Won,24,47,2,2,7,4.1,No,No
ENG0000068,20200903,20200820,20200903,20200904,19,13,4,1,Won,14,40,1,1,21,6.0,No,No
ENG0000069,20200905,20200901,20200905,20200907,19,12,4,1,Won,3,11,1,1,27,1.3,No,No
ENG0000070,20200906,20200901,20200906,20200909,2,8,7,7,Won,29,92,1,2,120,4.9,No,No
ENG0000071,20200908,20200819,20200908,20200910,5,9,6,5,Won,12,28,24,69,100,7.7,No,No
ENG0000072,20200909,20200905,20200909,20200909,19,0,4,2,Won,6,7,0,0,60,4.7,No,No
ENG0000073,20200911,20200828,20200911,20200911,19,8,2,1,Won,23,50,2,2,28,4.4,No,No
ENG0000074,20200923,20200914,20200923,20200925,19,7,1,3,Won,94,146,4,5,168,14.9,No,No
ENG0000075,20201001,20200920,20201001,20201001,19,11,4,1,Won,23,76,0,0,25,1.3,No,No
ENG0000076,20201013,20200927,20201013,20201014,19,7,0,1,Won,11,0,0,0,28,7.9,No,No
ENG0000077,20201016,20201011,20201016,20201018,19,13,6,1,Won,22,76,3,7,15,5.7,No,No
ENG0000078,20201017,20200928,20201017,20201017,5,13,4,4,Won,154,209,0,0,32,3.5,No,No
ENG0000079,20201026,20201021,20201026,20201029,2,9,5,7,Won,225,851,0,0,85,22.8,No,No
ENG0000080,20201030,20201021,20201030,20201030,5,7,4,5,Won,45,88,0,0,53,2.6,No,No
ENG0000081,20201105,20201021,20201105,20201108,16,12,1,6,Won,70,148,1,2,361,9.0,No,No
ENG0000082,20201106,20201105,20201106,20201107,5,10,2,4,Won,55,134,3,7,34,3.7,No,No
ENG0000083,20201108,20201028,20201108,20201108,19,0,4,2,Won,17,44,2,2,48,6.6,No,No
ENG0000084,20201123,20201121,20201123,20201125,19,8,6,1,Won,4,11,2,2,27,1.7,No,No
ENG0000085,20201126,20201106,20201126,20201126,5,7,5,4,Won,65,253,2,4,14,4.4,No,No
ENG0000086,20201129,20201116,20201129,20201201,19,0,6,1,Won,7,17,3,5,33,1.5,No,No
ENG0000087,20201130,20201119,20201130,20201130,19,12,3,2,Won,22,83,3,7,83,4.8,No,No
ENG0000088,20201201,20201114,20201201,20201201,19,12,0,1,Won,7,0,0,0,17,4.8,No,No
ENG0000089,20201206,20201116,20201206,20201207,5,13,4,4,Won,41,111,0,0,166,5.1,No,No
ENG0000090,20201209,20201204,20201209,20201210,19,11,5,1,Won,24,77,1,1,4,1.8,No,No
ENG0000091,20201215,20201205,20201215,20201215,19,11,1,3,Won,62,226,1,1,25,8.6,No,No
ENG0000092,20201219,20201203,20201219,20201220,19,13,6,2,Won,9,30,3,7,16,4.7,No,No
ENG0000093,20201220,20201209,20201220,20201223,5,6,4,5,Won,31,113,8,18,18,3.4,No,No
ENG0000094,20201224,20201218,20201224,20201228,16,7,3,6,Won,46,165,2,4,165,15.6,No,No
ENG0000095,20210105,20201219,20210105,20210105,19,7,5,2,Won,28,96,1,2,29,3.8,No,No
ENG0000096,20210106,20201221,20210106,20210106,19,12,6,1,Won,9,25,4,4,22,7.4,No,No
ENG0000097,20210109,20210106,20210109,20210110,16,8,6,8,Won,294,416,1,1,44,27.7,No,No
ENG0000098,20210112,20201223,20210112,20210114,19,11,2,1,Won,19,52,1,2,33,7.4,No,No
ENG0000099,20210117,20210112,20210117,20210119,19,10,4,3,Won,31,114,11,11,63,14.7,No,No
ENG0000100,20210123,20210105,20210123,20210125,19,7,6,3,Won,13,38,4,7,157,3.2,No,No
ENG0000101,20210124,20210122,20210124,20210124,16,11,5,6,Won,30,55,2,3,78,11.9,No,No
ENG0000102,20210125,20210109,20210125,20210127,19,9,3,3,Won,40,146,0,0,60,12.4,No,No
ENG0000103,20210203,20210118,20210203,20210204,19,0,3,1,Won,12,27,0,0,63,5.4,No,No
ENG0000104,20210207,20210202,20210207,20210210,5,11,5,5,Won,23,35,1,1,33,5.6,No,No
ENG0000105,20210210,20210125,20210210,20210211,2,14,4,7,Won,36,57,3,5,98,11.8,No,No
ENG0000106,20210215,20210209,20210215,20210217,19,9,3,3,Won,86,216,1,1,20,10.7,No,No
ENG0000107,20210220,20210131,20210220,20210220,19,0,4,1,Won,15,54,0,0,50,2.4,No,No
ENG0000108,20210221,20210208,20210221,20210221,19,13,6,2,Won,10,23,8,8,14,1.1,No,No
ENG0000109,20210226,20210217,20210226,20210228,5,13,6,5,Won,24,37,2,4,285,15.4,No,No
ENG0000110,20210228,20210227,20210228,20210228,19,11,5,1,Won,25,47,0,0,21,2.2,No,No
ENG0000111,20210301,20210221,20210301,20210303,5,6,3,4,Won,43,92,1,2,96,7.7,No,No
ENG0000112,20210302,20210223,20210302,20210302,19,13,1,2,Won,16,29,0,0,19,5.6,No,No
ENG0000113,20210303,20210302,20210303,20210303,5,6,5,4,Won,33,108,2,2,101,5.1,No,No
ENG0000114,20210310,20210304,20210310,20210312,19,8,6,1,Won,30,114,0,0,19,7.8,No,No
ENG0000115,20210311,20210310,20210311,20210312,19,12,1,1,Won,327,515,0,0,30,5.8,No,No
ENG0000116,20210312,20210303,20210312,20210315,19,7,3,3,Won,11,13,4,5,62,6.0,No,No
ENG0000117,20210315,20210309,20210315,20210317,19,12,5,2,Won,19,64,0,0,21,5.4,No,No
ENG0000118,20210316,20210302,20210316,20210317,19,0,4,1,Won,21,46,0,0,43,6.6,No,No
ENG0000119,20210318,20210302,20210318,20210322,16,6,5,6,Won,149,480,3,3,101,15.5,No,No
ENG0000120,20210319,20210315,20210319,20210319,19,8,2,3,Won,43,107,4,7,72,11.8,No,No
ENG0000121,20210322,20210311,20210322,20210325,5,8,6,5,Won,14,42,0,0,72,7.9,No,No
ENG0000122,20210323,20210321,20210323,20210325,19,13,4,2,Won,10,38,0,0,63,6.3,No,No
ENG0000123,20210326,20210306,20210326,20210329,16,12,1,6,Won,208,756,0,0,8,6.2,No,No
ENG0000124,20210328,20210322,20210328,20210330,19,12,6,1,Won,9,14,0,0,13,1.7,No,No
ENG0000125,20210403,20210323,20210403,20210405,19,8,6,2,Won,7,13,0,0,12,4.6,No,No
ENG0000126,20210406,20210331,20210406,20210406,5,7,7,4,Won,18,68,8,11,84,7.4,No,No
ENG0000127,20210408,20210323,20210408,20210409,19,14,3,3,Won,92,357,2,4,34,4.2,No,No
ENG0000128,20210412,20210327,20210412,20210412,19,11,6,2,Won,23,39,0,0,43,2.9,No,No
ENG0000129,20210414,20210402,20210414,20210416,2,10,5,7,Won,59,128,2,4,443,23.7,No,No
ENG0000130,20210415,20210403,20210415,20210415,19,8,4,1,Won,10,37,1,1,7,3.4,No,No
ENG0000131,20210416,20210411,20210416,20210418,19,8,5,1,Won,16,32,0,0,21,2.9,No,No
ENG0000132,20210418,20210416,20210418,20210420,19,13,1,1,Won,22,77,0,0,7,6.8,No,No
ENG0000133,20210419,20210412,20210419,20210420,19,11,5,2,Won,5,12,4,9,50,2.6,No,No
ENG0000134,20210423,20210410,20210423,20210425,5,10,6,4,Won,67,152,0,0,74,13.1,No,No
ENG0000135,20210425,20210416,20210425,20210426,19,13,1,1,Won,27,50,0,0,12,3.0,No,No
ENG0000136,20210428,20210411,20210428,20210430,19,7,6,1,Won,34,66,1,2,18,3.8,No,No
ENG0000137,20210507,20210505,20210507,20210507,16,6,5,8,Won,93,150,3,3,44,31.9,No,No
ENG0000138,20210508,20210418,20210508,20210509,2,10,2,7,Won,92,148,2,4,142,22.2,No,No
ENG0000139,20210521,20210506,20210521,20210524,16,14,4,6,Won,52,106,6,12,130,13.8,No,No
ENG0000140,20210526,20210519,20210526,20210527,19,12,0,1,Won,5,0,0,0,44,4.9,No,No
ENG0000141,20210601,20210512,20210601,20210601,19,11,6,1,Won,6,20,3,5,5,6.3,No,No
ENG0000142,20210612,20210525,20210612,20210613,19,8,5,2,Won,15,46,0,0,4,1.8,No,No
ENG0000143,20210617,20210611,20210617,20210619,19,10,1,3,Won,28,92,4,8,63,14.7,No,No
ENG0000144,20210618,20210608,20210618,20210621,19,13,5,3,Won,29,107,0,0,27,2.1,No,No
ENG0000145,20210620,20210618,20210620,20210622,19,8,5,2,Won,19,68,3,3,65,1.4,No,No
ENG0000146,20210705,20210622,20210705,20210706,19,13,1,1,Won,45,132,0,0,51,3.6,No,No
ENG0000147,20210707,20210705,20210707,20210709,19,13,1,3,Won,102,197,2,3,32,13.8,No,No
ENG0000148,20210708,20210630,20210708,20210709,19,0,0,1,Won,18,0,0,0,29,1.1,No,No
ENG0000149,20210711,20210630,20210711,20210711,19,11,5,2,Lost,23,49,4,8,20,1.9,No,No
ENG0000150,20210714,20210708,20210714,20210716,5,7,6,5,Won,21,72,3,8,254,5.6,No,No
ENG0000151,20210721,20210701,20210721,20210722,19,12,0,1,Won,12,0,1,0,31,3.2,No,No
ENG0000152,20210724,20210710,20210724,20210726,16,13,7,6,Won,22,64,3,7,123,6.3,No,No
ENG0000153,20210730,20210725,20210730,20210801,5,10,4,4,Won,25,36,1,2,66,2.5,No,No
ENG0000154,20210803,20210724,20210803,20210806,2,10,5,7,Won,63,162,15,37,300,19.2,No,No
ENG0000155,20210804,20210725,20210804,20210806,5,14,5,4,Won,85,147,2,2,56,10.5,No,No
ENG0000156,20210807,20210723,20210807,20210807,5,6,2,4,Won,192,735,25,25,129,11.9,No,No
ENG0000157,20210810,20210804,20210810,20210810,19,7,4,1,Won,24,74,4,8,67,3.4,No,No
ENG0000158,20210812,20210801,20210812,20210814,19,13,4,1,Won,6,20,0,0,214,5.2,No,No
ENG0000159,20210815,20210730,20210815,20210816,19,0,7,1,Won,27,45,0,0,22,4.4,No,No
ENG0000160,20210817,20210731,20210817,20210818,16,9,7,6,Won,194,746,7,12,82,16.2,No,No
ENG0000161,20210821,20210816,20210821,20210822,19,13,1,1,Won,66,195,1,1,6,3.5,No,No
ENG0000162,20210822,20210818,20210822,20210822,16,10,7,6,Won,27,65,3,7,52,19.0,No,No
ENG0000163,20210823,20210818,20210823,20210824,5,8,5,5,Lost,96,187,1,2,117,12.4,No,No
ENG0000164,20210824,20210810,20210824,20210825,19,8,2,1,Won,13,17,2,3,15,6.6,No,No
ENG0000165,20210828,20210814,20210828,20210830,19,13,5,2,Won,8,30,9,20,62,1.7,No,No
ENG0000166,20210830,20210814,20210830,20210902,19,11,1,3,Aborted,71,246,1,1,101,2.9,No,No
ENG0000167,20210831,20210814,20210831,20210901,16,10,3,8,Won,103,286,3,8,40,20.1,No,No
ENG0000168,20210906,20210827,20210906,20210906,19,7,1,1,Won,109,354,2,3,119,1.5,No,No
ENG0000169,20210908,20210906,20210908,20210908,19,13,7,1,Won,23,48,0,0,93,7.2,No,No
ENG0000170,20210909,20210825,20210909,20210913,16,14,4,6,Aborted,44,119,0,0,57,22.2,No,No
ENG0000171,20210910,20210829,20210910,20210911,19,11,2,1,Won,38,151,3,5,21,2.0,No,No
ENG0000172,20210913,20210830,20210913,20210916,19,11,5,3,Won,225,506,1,2,33,15.6,No,No
ENG0000173,20210915,20210831,20210915,20210916,19,13,1,1,Won,33,94,1,1,7,6.4,No,No
ENG0000174,20210917,20210914,20210917,20210917,19,13,4,1,Lost,5,10,0,0,43,2.5,No,No
ENG0000175,20210920,20210903,20210920,20210922,19,13,7,2,Won,15,30,0,0,15,4.5,No,No
ENG0000176,20210923,20210909,20210923,20210923,19,12,6,3,Won,39,101,5,14,17,4.0,No,No
ENG0000177,20210926,20210925,20210926,20210926,19,12,7,2,Won,66,171,2,3,31,1.5,No,No
ENG0000178,20210927,20210915,20210927,20210928,5,9,1,4,Won,143,255,8,9,61,6.4,No,No
ENG0000179,20211001,20210911,20211001,20211003,19,7,3,1,Won,18,64,1,1,20,1.0,No,No
ENG0000180,20211002,20210923,20211002,20211004,5,13,4,4,Won,17,28,2,5,148,10.7,No,No
ENG0000181,20211003,20210920,20211003,20211003,16,11,3,6,Won,57,132,32,43,20,7.0,No,No
ENG0000182,20211005,20210930,20211005,20211006,5,12,3,5,Won,116,377,0,0,7,12.3,No,No
ENG0000183,20211006,20210927,20211006,20211006,16,14,1,6,Won,15,38,5,13,78,10.8,No,No
ENG0000184,20211008,20211003,20211008,20211010,19,14,4,3,Lost,26,90,0,0,44,9.0,No,No
ENG0000185,20211010,20210924,20211010,20211012,5,8,5,4,Won,7,22,7,7,79,14.0,No,No
ENG0000186,20211013,20210930,20211013,20211013,19,11,7,1,Won,13,30,1,1,8,8.0,No,No
ENG0000187,20211016,20211014,20211016,20211018,19,7,4,1,Lost,36,112,1,1,12,1.9,No,No
ENG0000188,20211020,20211008,20211020,20211021,5,7,1,5,Won,133,373,1,2,19,14.2,No,No
ENG0000189,20211022,20211012,20211022,20211024,2,6,6,7,Won,93,143,2,2,113,29.5,No,No
ENG0000190,20211028,20211026,20211028,20211028,19,8,6,3,Won,19,47,1,1,61,12.2,No,No
ENG0000191,20211029,20211017,20211029,20211030,5,10,6,5,Won,54,124,2,2,185,11.8,No,No
ENG0000192,20211030,20211025,20211030,20211102,5,11,4,4,Won,55,171,1,1,87,5.0,No,No
ENG0000193,20211102,20211024,20211102,20211102,16,6,1,6,Won,107,217,1,1,54,8.3,No,No
ENG0000194,20211106,20211017,20211106,20211108,19,11,4,2,Won,30,115,0,0,70,3.2,No,No
ENG0000195,20211108,20211104,20211108,20211110,19,8,1,3,Won,79,229,2,3,248,3.5,No,No
ENG0000196,20211109,20211027,20211109,20211114,16,12,5,8,Won,50,74,2,5,197,30.8,No,No
ENG0000197,20211116,20211028,20211116,20211119,5,6,5,5,Won,16,58,7,13,148,8.1,No,No
ENG0000198,20211117,20211108,20211117,20211117,16,8,6,6,Won,16,39,1,1,82,6.5,No,No
ENG0000199,20211119,20211116,20211119,20211119,19,7,1,1,Won,101,365,3,5,7,5.5,No,No
ENG0000200,20211120,20211105,20211120,20211123,19,13,4,3,Won,80,212,14,34,114,5.7,No,No
ENG0000201,20211122,20211116,20211122,20211124,19,6,2,3,Won,86,176,15,19,5,3.5,No,No
ENG0000202,20211125,20211120,20211125,20211125,16,12,1,8,Won,660,946,9,14,127,22.8,No,No
ENG0000203,20211126,20211124,20211126,20211126,19,11,6,1,Lost,12,39,2,4,44,5.3,No,No
ENG0000204,20211128,20211108,20211128,20211130,19,11,5,1,Won,18,30,1,2,39,6.7,No,No
ENG0000205,20211129,20211125,20211129,20211202,5,7,1,5,Won,95,304,1,1,31,14.4,No,No
ENG0000206,20211130,20211122,20211130,20211202,19,13,4,1,Won,26,47,0,0,28,1.1,No,No
ENG0000207,20211202,20211118,20211202,20211205,19,13,4,3,Won,134,444,5,7,122,4.1,No,No
ENG0000208,20211203,20211126,20211203,20211205,19,13,6,2,Won,26,51,0,0,19,6.9,No,No
ENG0000209,20211204,20211129,20211204,20211205,19,0,5,1,Won,13,37,0,0,33,2.6,No,No
ENG0000210,20211208,20211202,20211208,20211208,19,9,1,3,Won,46,173,1,2,159,11.0,No,No
ENG0000211,20211217,20211208,20211217,20211218,2,14,7,7,Won,6,12,1,1,63,9.0,No,No
ENG0000212,20211218,20211207,20211218,20211219,19,13,0,2,Won,11,0,1,0,76,7.5,No,No
ENG0000213,20211220,20211201,20211220,20211222,5,7,7,4,Won,24,60,0,0,103,3.2,No,No
ENG0000214,20211221,20211214,20211221,20211223,5,10,1,5,Won,25,80,4,4,37,8.5,No,No
ENG0000215,20211222,20211220,20211222,20211224,19,12,0,2,Won,9,0,0,0,34,7.4,No,No
ENG0000216,20211231,20211217,20211231,20211231,16,14,6,8,Won,32,74,26,29,118,29.5,No,No
ENG0000217,20220101,20211222,20220101,20220101,19,11,3,1,Won,18,70,0,0,5,1.5,No,No
ENG0000218,20220103,20211223,20220103,20220105,19,7,1,3,Won,58,98,0,0,281,12.2,No,No
ENG0000219,20220104,20211230,20220104,20220106,19,11,4,1,Won,95,357,1,1,53,2.7,No,No
ENG0000220,20220105,20220102,20220105,20220105,2,8,5,7,Won,153,231,17,49,194,30.2,No,No
ENG0000221,20220106,20211218,20220106,20220107,19,7,4,1,Lost,279,1103,3,6,83,7.8,No,No
ENG0000222,20220108,20211229,20220108,20220110,19,13,0,2,Won,11,0,0,0,16,2.0,No,No
ENG0000223,20220111,20220108,20220111,20220111,5,12,4,5,Won,81,179,1,1,94,5.6,No,No
ENG0000224,20220112,20211228,20220112,20220114,19,12,7,1,Won,9,24,5,10,12,4.0,No,No
ENG0000225,20220114,20220106,20220114,20220116,19,7,3,1,Won,6,11,0,0,9,3.2,No,No
ENG0000226,20220115,20211229,20220115,20220117,19,8,6,2,Won,21,52,0,0,14,5.5,No,No
ENG0000227,20220117,20220116,20220117,20220118,5,13,6,5,Won,9,33,1,2,101,9.0,No,No
ENG0000228,20220120,20220118,20220120,20220120,19,9,5,3,Won,32,40,0,0,49,12.7,No,No
ENG0000229,20220122,20220110,20220122,20220124,19,8,0,1,Won,17,0,1,0,50,7.4,No,No
ENG0000230,20220125,20220117,20220125,20220129,16,13,5,8,Won,496,1058,1,2,103,14.3,No,No
ENG0000231,20220127,20220117,20220127,20220128,19,11,4,1,Lost,58,84,0,0,25,7.8,No,No
ENG0000232,20220130,20220126,20220130,20220131,19,8,6,2,Won,22,71,1,2,37,2.1,No,No
ENG0000233,20220131,20220118,20220131,20220131,19,13,4,1,Won,41,119,2,2,11,5.7,No,No
ENG0000234,20220207,20220119,20220207,20220210,5,8,4,4,Won,103,303,6,15,150,3.3,No,No
ENG0000235,20220209,20220122,20220209,20220212,5,10,4,5,Won,48,141,1,1,129,4.6,No,No
ENG0000236,20220210,20220123,20220210,20220211,19,7,4,2,Won,35,98,1,1,29,4.0,No,No
ENG0000237,20220217,20220205,20220217,20220218,19,8,5,2,Won,209,738,14,37,25,6.7,No,No
ENG0000238,20220218,20220208,20220218,20220219,5,7,5,4,Won,78,240,2,2,112,4.6,No,No
ENG0000239,20220220,20220213,20220220,20220224,16,10,1,6,Won,115,459,0,0,104,4.6,No,No
ENG0000240,20220221,20220220,20220221,20220223,19,11,0,1,Won,12,0,2,0,9,3.9,No,No
ENG0000241,20220224,20220209,20220224,20220224,19,8,5,1,Won,55,176,1,1,19,2.5,No,No
ENG0000242,20220225,20220219,20220225,20220302,2,9,4,7,Won,166,244,5,12,300,26.7,No,No
ENG0000243,20220227,20220216,20220227,20220302,5,14,5,5,Won,35,107,1,2,41,8.6,No,No
ENG0000244,20220301,20220213,20220301,20220304,5,7,6,5,Won,89,313,1,1,176,13.6,No,No
ENG0000245,20220303,20220227,20220303,20220303,19,13,3,3,Won,58,190,0,0,60,4.1,No,No
ENG0000246,20220307,20220228,20220307,20220308,16,11,5,6,Won,41,120,1,1,117,20.5,No,No
ENG0000247,20220309,20220223,20220309,20220309,19,0,3,2,Won,6,10,2,5,68,5.8,No,No
ENG0000248,20220310,20220220,20220310,20220312,5,8,1,4,Won,31,113,3,6,47,7.5,No,No
ENG0000249,20220311,20220227,20220311,20220313,19,12,3,3,Won,49,154,1,2,15,14.1,No,No
ENG0000250,20220312,20220309,20220312,20220312,5,8,4,4,Won,18,40,0,0,175,9.9,No,No
ENG0000251,20220314,20220302,20220314,20220314,19,13,1,1,Won,23,51,0,0,29,6.9,No,No
ENG0000252,20220316,20220228,20220316,20220316,19,12,5,2,Won,65,214,1,1,63,2.8,No,No
ENG0000253,20220318,20220314,20220318,20220320,19,8,6,1,Won,11,42,0,0,18,2.9,No,No
ENG0000254,20220321,20220319,20220321,20220321,19,9,1,3,Won,57,131,0,0,130,7.1,No,No
ENG0000255,20220322,20220320,20220322,20220325,5,12,4,5,Won,66,179,3,5,50,4.8,No,No
ENG0000256,20220323,20220318,20220323,20220323,19,13,0,1,Won,7,0,0,0,19,6.7,No,No
ENG0000257,20220327,20220323,20220327,20220328,19,8,2,3,Won,34,55,11,29,38,14.5,No,No
ENG0000258,20220330,20220329,20220330,20220330,19,0,0,1,Won,6,0,1,0,45,7.1,No,No
ENG0000259,20220401,20220313,20220401,20220403,5,12,4,5,Won,22,51,5,11,32,11.8,No,No
ENG0000260,20220403,20220331,20220403,20220404,5,11,1,5,Won,132,366,0,0,98,8.6,No,No
ENG0000261,20220406,20220317,20220406,20220409,19,7,4,3,Lost,47,178,7,7,221,6.3,No,No
ENG0000262,20220407,20220329,20220407,20220409,19,13,3,1,Won,18,56,0,0,88,3.3,No,No
ENG0000263,20220408,20220401,20220408,20220409,19,12,1,3,Won,64,218,0,0,92,12.4,No,No
