SnapshotDateKey,ConditionKey,ThreatIndex,TIESquadronsOperational,TIESquadronsTotal,SuperlaserChargePct,ShieldIntegrityPct,TurbolaserBatteriesOnline,TurbolaserBatteriesTotal,SortiesFlown
20190426,1,12.1,77,88,0.0,100.0,4640,5000,15
20190427,1,19.5,79,88,0.0,100.0,4655,5000,35
20190428,1,20.3,84,89,0.0,100.0,4628,5000,31
20190429,1,13.8,73,89,0.0,100.0,4595,5000,32
20190430,1,16.2,74,89,0.0,100.0,4855,5000,25
20190501,1,20.8,78,89,0.0,100.0,4948,5000,18
20190502,1,18.7,76,89,0.0,100.0,4932,5000,29
20190503,1,11.2,81,89,0.0,100.0,4577,5000,20
20190504,1,17.0,84,89,0.0,100.0,4628,5000,31
20190505,1,14.0,71,89,0.0,100.0,4940,5000,35
20190506,1,19.5,85,89,0.0,100.0,4724,5000,37
20190507,1,21.1,76,89,0.0,100.0,4859,5000,31
20190508,1,17.0,77,89,0.0,100.0,4802,5000,26
20190509,1,10.7,71,89,0.0,100.0,4645,5000,49
20190510,1,13.0,80,89,0.0,100.0,4653,5000,16
20190511,1,9.3,72,89,0.0,100.0,4885,5000,31
20190512,1,10.9,72,89,0.0,100.0,4788,5000,18
20190513,1,20.9,77,89,0.0,100.0,4839,5000,4
20190514,1,20.3,73,89,0.0,100.0,4686,5000,36
20190515,1,20.4,74,89,0.0,100.0,4534,5000,31
20190516,1,12.9,82,89,0.0,100.0,4805,5000,36
20190517,1,17.5,72,89,0.0,100.0,4604,5000,53
20190518,1,9.8,73,89,0.0,100.0,4866,5000,38
20190519,1,11.0,73,89,0.0,100.0,4536,5000,25
20190520,1,12.0,81,89,0.0,100.0,4721,5000,16
20190521,1,10.2,82,90,0.0,100.0,4650,5000,34
20190522,1,16.7,74,90,0.0,100.0,4856,5000,43
20190523,1,12.9,74,90,0.0,100.0,4919,5000,53
20190524,1,17.3,75,90,0.0,100.0,4867,5000,28
20190525,1,10.0,85,90,0.0,100.0,4536,5000,38
20190526,1,19.3,77,90,0.0,100.0,4657,5000,40
20190527,1,11.7,77,90,0.0,100.0,4765,5000,45
20190528,1,11.8,72,90,0.0,100.0,4923,5000,31
20190529,1,15.3,78,90,0.0,100.0,4916,5000,43
20190530,1,21.5,83,90,0.0,100.0,4884,5000,42
20190531,1,10.0,72,90,0.0,100.0,4851,5000,29
20190601,1,16.7,80,90,0.0,100.0,4531,5000,48
20190602,1,15.5,77,90,0.0,100.0,4944,5000,31
20190603,1,15.5,78,90,0.0,100.0,4874,5000,25
20190604,1,21.8,81,90,0.0,100.0,4854,5000,13
20190605,1,16.5,73,90,0.0,100.0,4533,5000,28
20190606,1,20.4,75,90,0.0,100.0,4599,5000,28
20190607,1,21.2,79,90,0.0,100.0,4799,5000,46
20190608,1,15.8,74,90,0.0,100.0,4821,5000,47
20190609,1,15.0,74,90,0.0,100.0,4861,5000,28
20190610,1,19.9,72,90,0.0,100.0,4506,5000,27
20190611,1,15.9,72,90,0.0,100.0,4729,5000,40
20190612,1,15.2,73,90,0.0,100.0,4891,5000,50
20190613,1,19.6,74,90,0.0,100.0,4742,5000,33
20190614,1,18.2,78,91,0.0,100.0,4630,5000,41
20190615,1,19.8,86,91,0.0,100.0,4845,5000,44
20190616,1,21.2,79,91,0.0,100.0,4515,5000,19
20190617,1,17.4,73,91,0.0,100.0,4750,5000,20
20190618,1,22.3,71,91,0.0,100.0,4764,5000,43
20190619,1,14.6,83,91,0.0,100.0,4670,5000,30
20190620,1,12.4,74,91,0.0,100.0,4563,5000,53
20190621,1,13.5,87,91,0.0,100.0,4782,5000,35
20190622,1,14.1,79,91,0.0,100.0,4597,5000,34
20190623,1,17.3,86,91,0.0,100.0,4612,5000,50
20190624,1,21.8,77,91,0.0,100.0,4942,5000,39
20190625,1,15.0,75,91,0.0,100.0,4878,5000,51
20190626,1,15.7,75,91,0.0,100.0,4880,5000,21
20190627,1,16.3,85,91,0.0,100.0,4925,5000,34
20190628,1,12.2,75,91,0.0,100.0,4875,5000,40
20190629,1,14.1,84,91,0.0,100.0,4570,5000,50
20190630,1,21.3,76,91,0.0,100.0,4611,5000,41
20190701,1,14.6,86,91,0.0,100.0,4725,5000,32
20190702,1,13.8,83,91,0.0,100.0,4723,5000,42
20190703,1,16.7,79,91,0.0,100.0,4943,5000,37
20190704,1,12.5,74,91,0.0,100.0,4809,5000,35
20190705,1,15.1,83,91,0.0,100.0,4583,5000,39
20190706,1,18.5,78,91,0.0,100.0,4538,5000,25
20190707,1,14.2,82,92,0.0,100.0,4716,5000,32
20190708,1,14.9,83,92,0.0,100.0,4619,5000,31
20190709,4,52.5,76,92,0.0,66.8,4510,5000,112
20190710,2,34.0,80,92,0.0,100.0,4913,5000,64
20190711,1,14.2,87,92,0.0,100.0,4711,5000,25
20190712,1,17.1,84,92,0.0,100.0,4578,5000,29
20190713,1,18.1,79,92,0.0,100.0,4835,5000,28
20190714,1,18.1,81,92,0.0,100.0,4944,5000,47
20190715,2,31.3,74,92,0.0,100.0,4534,5000,64
20190716,1,19.5,87,92,0.0,100.0,4517,5000,33
20190717,1,20.5,75,92,0.0,100.0,4717,5000,56
20190718,1,19.6,83,92,0.0,100.0,4601,5000,34
20190719,1,14.4,87,92,0.0,100.0,4872,5000,34
20190720,1,18.8,86,92,0.0,100.0,4749,5000,48
20190721,1,18.2,82,92,0.0,100.0,4910,5000,30
20190722,1,16.9,77,92,0.0,100.0,4664,5000,33
20190723,1,22.9,79,92,0.0,100.0,4938,5000,35
20190724,1,16.4,82,92,0.0,100.0,4636,5000,42
20190725,1,17.0,75,92,0.0,100.0,4675,5000,51
20190726,1,12.9,77,92,0.0,100.0,4786,5000,17
20190727,1,15.2,81,92,0.0,100.0,4905,5000,34
20190728,1,11.8,75,92,0.0,100.0,4817,5000,34
20190729,1,19.5,84,92,0.0,100.0,4749,5000,27
20190730,1,15.6,86,93,0.0,100.0,4632,5000,33
20190731,1,17.5,75,93,0.0,100.0,4949,5000,26
20190801,1,22.3,75,93,0.0,100.0,4752,5000,19
20190802,1,14.0,89,93,0.0,100.0,4631,5000,35
20190803,1,13.6,87,93,0.0,100.0,4697,5000,16
20190804,1,15.9,76,93,0.0,100.0,4787,5000,41
20190805,1,23.0,82,93,0.0,100.0,4726,5000,12
20190806,1,17.4,86,93,0.0,100.0,4926,5000,19
20190807,1,14.7,77,93,0.0,100.0,4928,5000,37
20190808,1,23.2,76,93,0.0,100.0,4645,5000,38
20190809,1,20.3,79,93,0.0,100.0,4787,5000,31
20190810,1,11.6,86,93,0.0,100.0,4653,5000,23
20190811,1,11.6,85,93,0.0,100.0,4725,5000,34
20190812,1,18.8,77,93,0.0,100.0,4537,5000,34
20190813,1,16.4,79,93,0.0,100.0,4918,5000,57
20190814,1,11.9,80,93,0.0,100.0,4790,5000,30
20190815,1,18.3,87,93,0.0,100.0,4869,5000,20
20190816,1,17.4,76,93,0.0,100.0,4716,5000,34
20190817,1,20.3,76,93,0.0,100.0,4760,5000,34
20190818,1,16.2,80,93,0.0,100.0,4914,5000,25
20190819,1,17.0,75,93,0.0,100.0,4624,5000,27
20190820,1,20.2,81,93,0.0,100.0,4876,5000,35
20190821,1,17.9,75,93,0.0,100.0,4775,5000,44
20190822,1,13.4,76,93,0.0,100.0,4818,5000,32
20190823,1,19.7,83,94,0.0,100.0,4835,5000,35
20190824,1,22.5,85,94,0.0,100.0,4770,5000,12
20190825,1,12.4,84,94,0.0,100.0,4748,5000,17
20190826,1,15.0,87,94,0.0,100.0,4856,5000,48
20190827,4,48.3,72,94,0.0,41.6,4686,5000,113
20190828,1,18.1,76,94,0.0,100.0,4914,5000,31
20190829,1,15.4,79,94,0.0,100.0,4668,5000,26
20190830,1,12.2,81,94,0.0,100.0,4714,5000,24
20190831,1,20.9,75,94,0.0,100.0,4857,5000,23
20190901,1,24.1,76,94,0.0,100.0,4582,5000,23
20190902,1,15.0,86,94,0.0,100.0,4583,5000,36
20190903,2,37.3,79,94,0.0,75.3,4697,5000,87
20190904,1,18.9,79,94,0.0,100.0,4591,5000,14
20190905,1,12.3,81,94,0.0,100.0,4682,5000,34
20190906,1,15.1,89,94,0.0,100.0,4759,5000,27
20190907,1,18.1,86,94,0.0,100.0,4645,5000,25
20190908,1,16.9,77,94,0.0,100.0,4709,5000,38
20190909,1,18.3,87,94,0.0,100.0,4801,5000,16
20190910,2,46.2,84,94,0.0,65.4,4687,5000,87
20190911,1,13.1,89,94,0.0,100.0,4767,5000,58
20190912,1,23.7,82,94,0.0,100.0,4800,5000,43
20190913,1,17.3,75,94,0.0,100.0,4506,5000,22
20190914,1,22.8,78,94,0.0,100.0,4785,5000,53
20190915,1,23.3,77,95,0.0,100.0,4664,5000,31
20190916,1,23.5,88,95,0.0,100.0,4513,5000,31
20190917,1,17.8,84,95,0.0,100.0,4547,5000,47
20190918,1,23.6,76,95,0.0,100.0,4931,5000,29
20190919,1,25.2,80,95,0.0,100.0,4533,5000,50
20190920,1,15.0,83,95,0.0,100.0,4925,5000,21
20190921,1,15.0,89,95,0.0,100.0,4569,5000,40
20190922,1,22.3,89,95,0.0,100.0,4629,5000,26
20190923,1,15.1,77,95,0.0,100.0,4703,5000,40
20190924,1,18.8,89,95,0.0,100.0,4838,5000,45
20190925,1,22.0,88,95,0.0,100.0,4860,5000,21
20190926,1,21.5,86,95,0.0,100.0,4627,5000,50
20190927,1,23.8,81,95,0.0,100.0,4763,5000,16
20190928,1,17.9,82,95,0.0,100.0,4690,5000,43
20190929,1,14.8,88,95,0.0,100.0,4860,5000,19
20190930,1,20.9,90,95,0.0,100.0,4881,5000,43
20191001,1,14.9,82,95,0.0,100.0,4893,5000,36
20191002,1,15.7,81,95,0.0,100.0,4501,5000,25
20191003,1,24.2,88,95,0.0,100.0,4739,5000,50
20191004,1,20.7,79,95,0.0,100.0,4728,5000,24
20191005,1,22.4,87,95,0.0,100.0,4620,5000,47
20191006,1,15.9,89,95,0.0,100.0,4559,5000,20
20191007,5,70.3,77,95,0.0,42.4,4546,5000,158
20191008,1,20.7,81,96,0.0,100.0,4646,5000,31
20191009,1,14.7,88,96,0.0,100.0,4567,5000,22
20191010,1,14.8,89,96,0.0,100.0,4543,5000,23
20191011,1,17.8,90,96,0.0,100.0,4815,5000,43
20191012,1,16.6,87,96,0.0,100.0,4554,5000,45
20191013,1,21.5,91,96,0.0,100.0,4782,5000,38
20191014,1,23.2,82,96,0.0,100.0,4814,5000,49
20191015,1,13.2,85,96,0.0,100.0,4688,5000,47
20191016,1,23.9,79,96,0.0,100.0,4547,5000,16
20191017,1,20.6,78,96,0.0,100.0,4941,5000,52
20191018,1,15.6,79,96,0.0,100.0,4903,5000,48
20191019,1,24.5,92,96,0.0,100.0,4675,5000,44
20191020,1,15.5,90,96,0.0,100.0,4770,5000,38
20191021,1,15.7,88,96,0.0,100.0,4815,5000,51
20191022,1,15.7,88,96,0.0,100.0,4751,5000,68
20191023,1,19.9,87,96,0.0,100.0,4625,5000,42
20191024,1,18.7,84,96,0.0,100.0,4795,5000,30
20191025,1,19.0,89,96,0.0,100.0,4666,5000,53
20191026,1,18.2,78,96,0.0,100.0,4895,5000,24
20191027,1,23.7,81,96,0.0,100.0,4798,5000,25
20191028,1,20.1,88,96,0.0,100.0,4624,5000,23
20191029,1,17.1,89,96,0.0,100.0,4782,5000,37
20191030,1,25.3,90,96,0.0,100.0,4690,5000,48
20191031,1,20.3,89,96,0.0,100.0,4875,5000,28
20191101,1,21.7,91,97,0.0,100.0,4900,5000,36
20191102,1,24.1,91,97,0.0,100.0,4531,5000,44
20191103,1,14.2,87,97,0.0,100.0,4867,5000,22
20191104,1,19.8,89,97,0.0,100.0,4610,5000,38
20191105,1,14.5,93,97,0.0,100.0,4531,5000,51
20191106,1,17.3,78,97,0.0,100.0,4678,5000,43
20191107,1,14.5,85,97,0.0,100.0,4879,5000,43
20191108,1,16.8,80,97,0.0,100.0,4780,5000,21
20191109,1,24.3,78,97,0.0,100.0,4894,5000,41
20191110,1,25.4,89,97,0.0,100.0,4645,5000,36
20191111,1,14.9,91,97,0.0,100.0,4709,5000,46
20191112,1,23.1,91,97,0.0,100.0,4921,5000,37
20191113,1,15.6,91,97,0.0,100.0,4756,5000,41
20191114,1,17.5,84,97,0.0,100.0,4602,5000,37
20191115,1,16.4,89,97,0.0,100.0,4908,5000,31
20191116,1,15.7,82,97,0.0,100.0,4913,5000,42
20191117,1,21.5,83,97,0.0,100.0,4650,5000,23
20191118,1,14.5,87,97,0.0,100.0,4627,5000,26
20191119,1,15.5,81,97,0.0,100.0,4863,5000,47
20191120,1,20.5,86,97,0.0,100.0,4506,5000,34
20191121,1,14.7,86,97,0.0,100.0,4539,5000,49
20191122,1,25.8,77,97,0.0,100.0,4531,5000,46
20191123,1,19.4,86,97,0.0,100.0,4635,5000,56
20191124,1,21.4,90,98,0.0,100.0,4645,5000,42
20191125,2,32.8,83,98,0.0,100.0,4608,5000,61
20191126,1,16.7,91,98,0.0,100.0,4793,5000,18
20191127,2,32.0,88,98,0.0,100.0,4669,5000,54
20191128,1,19.1,78,98,0.0,100.0,4707,5000,51
20191129,1,23.7,91,98,0.0,100.0,4703,5000,42
20191130,1,14.7,88,98,0.0,100.0,4828,5000,39
20191201,1,25.4,93,98,0.0,100.0,4793,5000,31
20191202,1,15.7,82,98,0.0,100.0,4655,5000,44
20191203,1,26.2,84,98,0.0,100.0,4613,5000,24
20191204,1,21.9,80,98,0.0,100.0,4611,5000,44
20191205,1,24.8,92,98,0.0,100.0,4732,5000,39
20191206,1,20.5,88,98,0.0,100.0,4792,5000,30
20191207,1,16.7,89,98,0.0,100.0,4750,5000,36
20191208,1,17.6,88,98,0.0,100.0,4807,5000,40
20191209,1,21.1,83,98,0.0,100.0,4705,5000,47
20191210,1,21.7,92,98,0.0,100.0,4903,5000,39
20191211,1,22.8,88,98,0.0,100.0,4555,5000,31
20191212,1,22.0,78,98,0.0,100.0,4774,5000,44
20191213,1,25.4,84,98,0.0,100.0,4630,5000,23
20191214,1,22.6,88,98,0.0,100.0,4526,5000,55
20191215,1,17.0,84,98,0.0,100.0,4946,5000,27
20191216,1,20.5,93,98,0.0,100.0,4531,5000,44
20191217,1,24.3,90,99,0.0,100.0,4609,5000,25
20191218,1,24.0,83,99,0.0,100.0,4743,5000,56
20191219,1,22.2,85,99,0.0,100.0,4694,5000,18
20191220,1,21.2,90,99,0.0,100.0,4831,5000,32
20191221,1,23.9,86,99,0.0,100.0,4643,5000,38
20191222,1,24.6,86,99,0.0,100.0,4650,5000,40
20191223,1,20.5,90,99,0.0,100.0,4715,5000,33
20191224,1,26.2,93,99,0.0,100.0,4576,5000,43
20191225,1,23.7,88,99,0.0,100.0,4798,5000,28
20191226,4,52.0,85,99,0.0,44.8,4792,5000,134
20191227,1,22.2,81,99,0.0,100.0,4939,5000,46
20191228,1,26.4,79,99,0.0,100.0,4644,5000,49
20191229,1,25.1,87,99,0.0,100.0,4788,5000,29
20191230,1,23.9,81,99,0.0,100.0,4709,5000,27
20191231,1,21.2,89,99,0.0,100.0,4773,5000,39
20200101,1,25.6,92,99,0.0,100.0,4780,5000,29
20200102,1,24.3,82,99,0.0,100.0,4592,5000,37
20200103,1,22.6,84,99,0.0,100.0,4537,5000,27
20200104,1,24.9,82,99,0.0,100.0,4852,5000,41
20200105,1,18.8,80,99,0.0,100.0,4753,5000,47
20200106,1,25.3,81,99,0.0,100.0,4915,5000,52
20200107,1,25.5,82,99,0.0,100.0,4642,5000,24
20200108,1,19.3,86,99,0.0,100.0,4909,5000,30
20200109,1,20.7,83,100,0.0,100.0,4660,5000,29
20200110,1,20.7,88,100,0.0,100.0,4647,5000,16
20200111,1,16.6,87,100,0.0,100.0,4667,5000,62
20200112,1,21.0,83,100,0.0,100.0,4818,5000,29
20200113,1,17.4,82,100,0.0,100.0,4511,5000,52
20200114,1,16.7,92,100,0.0,100.0,4753,5000,48
20200115,1,24.6,85,100,0.0,100.0,4809,5000,25
20200116,1,26.1,88,100,0.0,100.0,4949,5000,36
20200117,1,21.9,81,100,0.0,100.0,4588,5000,48
20200118,1,26.3,93,100,0.0,100.0,4673,5000,24
20200119,1,18.4,87,100,0.0,100.0,4770,5000,57
20200120,1,22.2,93,100,0.0,100.0,4816,5000,29
20200121,1,18.4,88,100,0.0,100.0,4925,5000,26
20200122,1,26.4,85,100,0.0,100.0,4516,5000,42
20200123,1,24.7,94,100,0.0,100.0,4779,5000,51
20200124,1,22.5,84,100,0.0,100.0,4671,5000,37
20200125,1,25.0,86,100,0.0,100.0,4521,5000,44
20200126,1,26.2,94,100,0.0,100.0,4714,5000,44
20200127,1,19.0,93,100,0.0,100.0,4620,5000,30
20200128,1,25.9,88,100,0.0,100.0,4937,5000,21
20200129,1,25.7,86,100,0.0,100.0,4878,5000,27
20200130,1,25.1,88,100,0.0,100.0,4563,5000,45
20200131,1,23.3,95,100,0.0,100.0,4914,5000,40
20200201,1,22.4,80,100,0.0,100.0,4650,5000,32
20200202,1,18.9,85,101,0.0,100.0,4918,5000,55
20200203,1,26.4,95,101,0.0,100.0,4913,5000,47
20200204,1,20.0,94,101,0.0,100.0,4785,5000,35
20200205,1,25.1,90,101,0.0,100.0,4712,5000,35
20200206,1,22.7,96,101,0.0,100.0,4905,5000,37
20200207,1,20.4,88,101,0.0,100.0,4836,5000,36
20200208,1,17.5,94,101,0.0,100.0,4768,5000,46
20200209,1,21.1,92,101,0.0,100.0,4877,5000,32
20200210,1,25.2,92,101,0.0,100.0,4881,5000,33
20200211,1,22.7,88,101,0.0,100.0,4765,5000,41
20200212,1,24.7,88,101,0.0,100.0,4733,5000,11
20200213,1,23.9,93,101,0.0,100.0,4730,5000,61
20200214,1,22.2,94,101,0.0,100.0,4945,5000,20
20200215,1,21.7,91,101,0.0,100.0,4627,5000,37
20200216,1,22.3,85,101,0.0,100.0,4597,5000,35
20200217,1,18.1,84,101,0.0,100.0,4748,5000,39
20200218,1,28.0,92,101,0.0,100.0,4859,5000,42
20200219,1,19.8,87,101,0.0,100.0,4798,5000,16
20200220,1,21.1,81,101,0.0,100.0,4881,5000,25
20200221,1,20.4,81,101,0.0,100.0,4766,5000,52
20200222,1,22.6,83,101,0.0,100.0,4618,5000,53
20200223,1,24.2,94,101,0.0,100.0,4813,5000,50
20200224,1,18.7,87,101,0.0,100.0,4901,5000,40
20200225,1,25.7,93,102,0.0,100.0,4572,5000,33
20200226,1,25.0,82,102,0.0,100.0,4947,5000,34
20200227,1,26.1,81,102,0.0,100.0,4617,5000,38
20200228,1,23.8,97,102,0.0,100.0,4721,5000,49
20200229,1,26.0,89,102,0.0,100.0,4852,5000,51
20200301,1,21.9,93,102,0.0,100.0,4737,5000,13
20200302,1,24.2,84,102,0.0,100.0,4935,5000,13
20200303,1,24.3,92,102,0.0,100.0,4907,5000,33
20200304,1,22.2,84,102,0.0,100.0,4517,5000,41
20200305,2,44.9,86,102,0.0,69.1,4539,5000,120
20200306,1,17.1,94,102,0.0,100.0,4604,5000,48
20200307,1,21.6,91,102,0.0,100.0,4772,5000,81
20200308,1,18.2,86,102,0.0,100.0,4845,5000,46
20200309,1,18.7,84,102,0.0,100.0,4689,5000,49
20200310,1,19.3,94,102,0.0,100.0,4859,5000,30
20200311,1,26.4,82,102,0.0,100.0,4721,5000,31
20200312,1,25.7,83,102,0.0,100.0,4504,5000,29
20200313,1,26.1,94,102,0.0,100.0,4556,5000,43
20200314,1,21.5,95,102,0.0,100.0,4634,5000,68
20200315,1,27.7,86,102,0.0,100.0,4710,5000,30
20200316,1,22.1,94,102,0.0,100.0,4641,5000,39
20200317,1,26.0,87,102,0.0,100.0,4871,5000,17
20200318,1,23.7,94,102,0.0,100.0,4763,5000,47
20200319,1,17.2,89,103,0.0,100.0,4818,5000,50
20200320,1,23.3,95,103,0.0,100.0,4604,5000,10
20200321,1,22.0,96,103,0.0,100.0,4891,5000,27
20200322,4,62.5,74,103,0.0,40.9,4784,5000,122
20200323,1,17.5,82,103,0.0,100.0,4706,5000,21
20200324,1,28.5,88,103,0.0,100.0,4848,5000,37
20200325,1,17.6,83,103,0.0,100.0,4888,5000,24
20200326,1,17.4,97,103,0.0,100.0,4937,5000,50
20200327,1,22.6,86,103,0.0,100.0,4916,5000,34
20200328,1,18.3,91,103,0.0,100.0,4890,5000,43
20200329,1,24.8,95,103,0.0,100.0,4549,5000,34
20200330,1,24.7,87,103,0.0,100.0,4695,5000,47
20200331,1,18.8,82,103,0.0,100.0,4595,5000,51
20200401,1,25.9,86,103,0.0,100.0,4555,5000,41
20200402,1,19.9,91,103,0.0,100.0,4502,5000,54
20200403,1,29.1,98,103,0.0,100.0,4923,5000,32
