MonthDateKey,DepartmentKey,RoleKey,Headcount,Hires,Separations,CombatLosses,AverageMonthlyPayCredits,PayrollCostCredits
20190131,19,7,1667,73,22,7,5100,8501700
20190131,20,10,7875,278,41,0,6400,50400000
20190131,20,8,4846,193,47,0,4400,21322400
20190131,20,4,2850,98,12,0,12500,35625000
20190131,20,16,2881,105,18,0,600,1728600
20190131,20,3,996,34,4,0,19000,18924000
20190131,21,10,15634,577,107,0,6400,100057600
20190131,21,8,10073,408,105,0,4400,44321200
20190131,21,4,5809,212,37,0,12500,72612500
20190131,21,16,5753,239,66,0,600,3451800
20190131,21,3,1936,68,9,0,19000,36784000
20190131,22,10,7800,266,32,0,6400,49920000
20190131,22,16,7322,303,83,0,600,4393200
20190131,22,17,2263,80,12,0,900,2036700
20190131,22,4,1543,58,11,0,12500,19287500
20190131,23,1,2302,83,13,0,42000,96684000
20190131,23,2,6095,230,47,0,28000,170660000
20190131,23,3,8370,336,84,0,19000,159030000
20190131,23,8,8333,293,43,0,4400,36665200
20190131,23,17,2942,106,17,0,900,2647800
20190131,24,10,7914,279,41,0,6400,50649600
20190131,24,8,4899,177,30,0,4400,21555600
20190131,24,4,2941,103,14,0,12500,36762500
20190131,24,16,2936,109,20,0,600,1761600
20190131,24,3,931,32,4,0,19000,17689000
20190228,1,7,48237,1167,489,241,5100,246008700
20190228,1,9,20197,2004,237,0,7800,157536600
20190228,1,3,3910,210,29,0,19000,74290000
20190228,1,4,8065,438,83,0,12500,100812500
20190228,1,16,16726,0,136,0,600,10035600
20190228,2,7,42438,1313,640,224,5100,216433800
20190228,2,10,8851,39,88,0,6400,56646400
20190228,2,4,4444,0,32,0,12500,55550000
20190228,2,16,3906,25,25,0,600,2343600
20190228,3,7,25092,1233,302,58,5100,127969200
20190228,3,10,6699,0,52,0,6400,42873600
20190228,3,4,3402,0,33,0,12500,42525000
20190228,3,16,3107,20,14,0,600,1864200
20190228,4,10,19234,963,147,0,6400,123097600
20190228,4,8,11989,405,52,0,4400,52751600
20190228,4,4,7113,164,59,0,12500,88912500
20190228,4,16,7104,0,75,0,600,4262400
20190228,4,3,2377,0,16,0,19000,45163000
20190228,5,10,11694,0,108,0,6400,74841600
20190228,5,8,7387,381,69,0,4400,32502800
20190228,5,4,4342,0,27,0,12500,54275000
20190228,5,16,4409,0,32,0,600,2645400
20190228,5,3,1401,0,13,0,19000,26619000
20190228,6,9,67103,1781,569,0,7800,523403400
20190228,6,10,22624,0,105,0,6400,144793600
20190228,6,16,13636,179,156,0,600,8181600
20190228,6,3,3566,248,20,0,19000,67754000
20190228,6,4,5788,66,49,0,12500,72350000
20190228,7,10,24217,2102,174,0,6400,154988800
20190228,7,8,14915,1189,166,0,4400,65626000
20190228,7,4,8683,0,38,0,12500,108537500
20190228,7,16,8834,0,90,0,600,5300400
20190228,7,3,2832,0,28,0,19000,53808000
20190228,8,10,16034,963,164,0,6400,102617600
20190228,8,8,9414,0,48,0,4400,41421600
20190228,8,4,5846,195,48,0,12500,73075000
20190228,8,16,5744,192,53,0,600,3446400
20190228,8,3,1894,34,19,0,19000,35986000
20190228,9,10,19326,0,199,0,6400,123686400
20190228,9,8,11875,0,64,0,4400,52250000
20190228,9,4,7080,18,74,0,12500,88500000
20190228,9,16,7135,257,49,0,600,4281000
20190228,9,3,2466,120,17,0,19000,46854000
20190228,10,10,19451,130,210,0,6400,124486400
20190228,10,8,11560,0,128,0,4400,50864000
20190228,10,4,7431,348,73,0,12500,92887500
20190228,10,16,7314,0,63,0,600,4388400
20190228,10,3,2515,209,26,0,19000,47785000
20190228,11,10,29913,0,156,0,6400,191443200
20190228,11,8,19810,0,124,0,4400,87164000
20190228,11,4,11379,0,48,0,12500,142237500
20190228,11,16,11428,0,107,0,600,6856800
20190228,11,3,3853,0,32,0,19000,73207000
20190228,12,10,11886,550,55,0,6400,76070400
20190228,12,8,7368,0,57,0,4400,32419200
20190228,12,4,4587,243,35,0,12500,57337500
20190228,12,16,4584,307,53,0,600,2750400
20190228,12,3,1431,0,15,0,19000,27189000
20190228,13,13,7209,0,47,0,2800,20185200
20190228,13,16,1742,72,7,0,600,1045200
20190228,13,10,564,0,2,0,6400,3609600
20190228,13,4,190,0,0,0,12500,2375000
20190228,14,12,14961,425,109,0,3100,46379100
20190228,14,16,2600,0,30,0,600,1560000
20190228,14,4,802,16,4,0,12500,10025000
20190228,14,18,781,0,8,0,8500,6638500
20190228,15,11,12757,244,136,0,9200,117364400
20190228,15,12,2890,0,14,0,3100,8959000
20190228,15,16,7288,308,35,0,600,4372800
20190228,15,10,3494,39,32,0,6400,22361600
20190228,15,4,2247,21,25,0,12500,28087500
20190228,16,5,53935,2228,611,138,4200,226527000
20190228,16,3,2001,0,18,0,19000,38019000
20190228,16,4,4054,0,41,0,12500,50675000
20190228,16,10,2689,51,16,0,6400,17209600
20190228,16,16,4921,353,50,0,600,2952600
20190228,17,14,5880,102,25,0,4600,27048000
20190228,17,5,2105,0,29,5,4200,8841000
20190228,17,16,975,0,5,0,600,585000
20190228,17,4,574,0,6,0,12500,7175000
20190228,18,15,13246,413,155,0,11500,152329000
20190228,18,4,2247,5,10,0,12500,28087500
20190228,18,8,2360,0,10,0,4400,10384000
20190228,18,3,1193,22,5,0,19000,22667000
20190228,19,6,26111,62,393,123,5600,146221600
20190228,19,10,17391,0,158,0,6400,111302400
20190228,19,16,8427,0,58,0,600,5056200
20190228,19,4,2806,0,32,0,12500,35075000
20190228,19,3,1207,103,13,0,19000,22933000
20190228,19,7,1667,10,10,2,5100,8501700
20190228,20,10,7684,0,54,0,6400,49177600
20190228,20,8,4720,0,43,0,4400,20768000
20190228,20,4,2833,8,25,0,12500,35412500
20190228,20,16,3011,148,18,0,600,1806600
20190228,20,3,966,0,5,0,19000,18354000
20190228,21,10,14783,0,84,0,6400,94611200
20190228,21,8,9667,0,43,0,4400,42534800
20190228,21,4,5899,139,49,0,12500,73737500
20190228,21,16,5964,239,28,0,600,3578400
20190228,21,3,1890,0,11,0,19000,35910000
20190228,22,10,7424,0,85,0,6400,47513600
20190228,22,16,8159,909,72,0,600,4895400
20190228,22,17,2319,82,26,0,900,2087100
20190228,22,4,1503,0,6,0,12500,18787500
20190228,23,1,2382,99,19,0,42000,100044000
20190228,23,2,6460,424,59,0,28000,180880000
20190228,23,3,8553,244,61,0,19000,162507000
20190228,23,8,8475,214,72,0,4400,37290000
20190228,23,17,3046,131,27,0,900,2741400
20190228,24,10,7528,0,35,0,6400,48179200
20190228,24,8,4900,57,56,0,4400,21560000
20190228,24,4,3027,102,16,0,12500,37837500
20190228,24,16,2893,0,12,0,600,1735800
20190228,24,3,1019,97,9,0,19000,19361000
20190331,1,7,51268,3734,703,251,5100,261466800
20190331,1,9,20494,442,145,0,7800,159853200
20190331,1,3,3879,0,15,0,19000,73701000
20190331,1,4,7502,0,69,0,12500,93775000
20190331,1,16,16897,301,130,0,600,10138200
20190331,2,7,43166,1388,660,255,5100,220146600
20190331,2,10,8492,0,72,0,6400,54348800
20190331,2,4,4870,456,30,0,12500,60875000
20190331,2,16,4214,355,47,0,600,2528400
20190331,3,7,25332,621,381,82,5100,129193200
20190331,3,10,7125,510,84,0,6400,45600000
20190331,3,4,3388,15,29,0,12500,42350000
20190331,3,16,3106,18,19,0,600,1863600
20190331,4,10,19535,489,188,0,6400,125024000
20190331,4,8,11934,0,49,0,4400,52509600
20190331,4,4,7488,459,84,0,12500,93600000
20190331,4,16,7408,350,46,0,600,4444800
20190331,4,3,2572,211,16,0,19000,48868000
20190331,5,10,11336,0,134,0,6400,72550400
20190331,5,8,7168,0,70,0,4400,31539200
20190331,5,4,4262,0,37,0,12500,53275000
20190331,5,16,4410,42,41,0,600,2646000
20190331,5,3,1484,91,8,0,19000,28196000
20190331,6,9,70313,3871,661,0,7800,548441400
20190331,6,10,23259,843,208,0,6400,148857600
20190331,6,16,14491,1002,147,0,600,8694600
20190331,6,3,3691,153,28,0,19000,70129000
20190331,6,4,5870,128,46,0,12500,73375000
20190331,7,10,23886,0,102,0,6400,152870400
20190331,7,8,14732,0,131,0,4400,64820800
20190331,7,4,8991,346,38,0,12500,112387500
20190331,7,16,9136,380,78,0,600,5481600
20190331,7,3,3055,245,22,0,19000,58045000
20190331,8,10,16356,436,114,0,6400,104678400
20190331,8,8,10123,758,49,0,4400,44541200
20190331,8,4,5898,86,34,0,12500,73725000
20190331,8,16,6154,475,65,0,600,3692400
20190331,8,3,1943,63,14,0,19000,36917000
20190331,9,10,20392,1304,238,0,6400,130508800
20190331,9,8,12730,957,102,0,4400,56012000
20190331,9,4,7485,438,33,0,12500,93562500
20190331,9,16,7343,250,42,0,600,4405800
20190331,9,3,2374,0,14,0,19000,45106000
20190331,10,10,19014,0,80,0,6400,121689600
20190331,10,8,11753,251,58,0,4400,51713200
20190331,10,4,7172,0,72,0,12500,89650000
20190331,10,16,7109,0,73,0,600,4265400
20190331,10,3,2561,71,25,0,19000,48659000
20190331,11,10,32242,2490,161,0,6400,206348800
20190331,11,8,20150,507,167,0,4400,88660000
20190331,11,4,11409,151,121,0,12500,142612500
20190331,11,16,12274,978,132,0,600,7364400
20190331,11,3,3771,0,43,0,19000,71649000
20190331,12,10,11668,0,85,0,6400,74675200
20190331,12,8,7061,0,56,0,4400,31068400
20190331,12,4,4335,0,29,0,12500,54187500
20190331,12,16,4288,0,49,0,600,2572800
20190331,12,3,1454,30,7,0,19000,27626000
20190331,13,13,7505,367,71,0,2800,21014000
20190331,13,16,1821,90,11,0,600,1092600
20190331,13,10,566,5,3,0,6400,3622400
20190331,13,4,191,2,1,0,12500,2387500
20190331,14,12,14754,0,75,0,3100,45737400
20190331,14,16,2632,45,13,0,600,1579200
20190331,14,4,818,25,9,0,12500,10225000
20190331,14,18,789,12,4,0,8500,6706500
20190331,15,11,13832,1218,143,0,9200,127254400
20190331,15,12,2832,0,17,0,3100,8779200
20190331,15,16,7200,0,57,0,600,4320000
20190331,15,10,3603,148,39,0,6400,23059200
20190331,15,4,2432,206,21,0,12500,30400000
20190331,16,5,53797,527,665,62,4200,225947400
20190331,16,3,2008,23,16,0,19000,38152000
20190331,16,4,4274,263,43,0,12500,53425000
20190331,16,10,2611,0,22,0,6400,16710400
20190331,16,16,4697,0,30,0,600,2818200
20190331,17,14,6283,457,54,0,4600,28901800
20190331,17,5,2106,28,27,4,4200,8845200
20190331,17,16,942,0,5,0,600,565200
20190331,17,4,587,17,4,0,12500,7337500
20190331,18,15,13526,365,85,0,11500,155549000
20190331,18,4,2368,133,12,0,12500,29600000
20190331,18,8,2311,0,20,0,4400,10168400
20190331,18,3,1229,47,11,0,19000,23351000
20190331,19,6,27636,1721,196,56,5600,154761600
20190331,19,10,17261,33,163,0,6400,110470400
20190331,19,16,8986,653,94,0,600,5391600
20190331,19,4,3087,313,32,0,12500,38587500
20190331,19,3,1169,0,8,0,19000,22211000
20190331,19,7,1767,122,22,2,5100,9011700
20190331,20,10,7786,163,61,0,6400,49830400
20190331,20,8,5060,363,23,0,4400,22264000
20190331,20,4,2882,76,27,0,12500,36025000
20190331,20,16,2861,0,11,0,600,1716600
20190331,20,3,986,30,10,0,19000,18734000
20190331,21,10,15343,723,163,0,6400,98195200
20190331,21,8,10258,708,117,0,4400,45135200
20190331,21,4,5821,0,34,0,12500,72762500
20190331,21,16,5980,57,41,0,600,3588000
20190331,21,3,2028,158,20,0,19000,38532000
20190331,22,10,7697,346,73,0,6400,49260800
20190331,22,16,8061,0,58,0,600,4836600
20190331,22,17,2331,24,12,0,900,2097900
20190331,22,4,1562,69,10,0,12500,19525000
20190331,23,1,2284,0,13,0,42000,95928000
20190331,23,2,6364,0,30,0,28000,178192000
20190331,23,3,8928,443,68,0,19000,169632000
20190331,23,8,9085,667,57,0,4400,39974000
20190331,23,17,3025,0,16,0,900,2722500
20190331,24,10,7938,443,33,0,6400,50803200
20190331,24,8,4964,122,58,0,4400,21841600
20190331,24,4,3034,32,25,0,12500,37925000
20190331,24,16,2922,48,19,0,600,1753200
20190331,24,3,979,0,6,0,19000,18601000
20190430,1,7,50234,0,378,109,5100,256193400
20190430,1,9,20137,0,183,0,7800,157068600
20190430,1,3,4099,248,28,0,19000,77881000
20190430,1,4,8287,835,50,0,12500,103587500
20190430,1,16,18230,1428,95,0,600,10938000
20190430,2,7,39532,0,463,123,5100,201613200
20190430,2,10,9181,768,79,0,6400,58758400
20190430,2,4,4908,89,51,0,12500,61350000
20190430,2,16,4213,21,22,0,600,2527800
20190430,3,7,25948,861,245,62,5100,132334800
20190430,3,10,7107,19,37,0,6400,45484800
20190430,3,4,3654,289,23,0,12500,45675000
20190430,3,16,3233,142,15,0,600,1939800
20190430,4,10,20034,650,151,0,6400,128217600
20190430,4,8,12693,881,122,0,4400,55849200
20190430,4,4,7206,0,32,0,12500,90075000
20190430,4,16,7589,241,60,0,600,4553400
20190430,4,3,2397,0,24,0,19000,45543000
20190430,5,10,12446,1194,84,0,6400,79654400
20190430,5,8,7777,644,35,0,4400,34218800
20190430,5,4,4538,297,21,0,12500,56725000
20190430,5,16,4659,295,46,0,600,2795400
20190430,5,3,1520,43,7,0,19000,28880000
20190430,6,9,69289,0,793,0,7800,540454200
20190430,6,10,23835,770,194,0,6400,152544000
20190430,6,16,14336,9,164,0,600,8601600
20190430,6,3,3613,0,27,0,19000,68647000
20190430,6,4,6193,365,42,0,12500,77412500
20190430,7,10,24764,998,120,0,6400,158489600
20190430,7,8,15172,548,108,0,4400,66756800
20190430,7,4,8526,0,47,0,12500,106575000
20190430,7,16,9065,2,73,0,600,5439000
20190430,7,3,2902,0,23,0,19000,55138000
20190430,8,10,15603,0,97,0,6400,99859200
20190430,8,8,9531,0,51,0,4400,41936400
20190430,8,4,6220,348,26,0,12500,77750000
20190430,8,16,5887,0,39,0,600,3532200
20190430,8,3,2071,146,18,0,19000,39349000
20190430,9,10,20325,172,239,0,6400,130080000
20190430,9,8,12452,0,60,0,4400,54788800
20190430,9,4,7793,351,43,0,12500,97412500
20190430,9,16,7463,175,55,0,600,4477800
20190430,9,3,2487,140,27,0,19000,47253000
20190430,10,10,20129,1345,230,0,6400,128825600
20190430,10,8,11798,169,124,0,4400,51911200
20190430,10,4,7696,561,37,0,12500,96200000
20190430,10,16,7690,663,82,0,600,4614000
20190430,10,3,2366,0,23,0,19000,44954000
20190430,11,10,31772,0,311,0,6400,203340800
20190430,11,8,19209,0,156,0,4400,84519600
20190430,11,4,11437,137,109,0,12500,142962500
20190430,11,16,11739,0,126,0,600,7043400
20190430,11,3,3853,124,42,0,19000,73207000
20190430,12,10,11813,235,90,0,6400,75603200
20190430,12,8,7616,617,62,0,4400,33510400
20190430,12,4,4349,60,46,0,12500,54362500
20190430,12,16,4570,324,42,0,600,2742000
20190430,12,3,1429,0,10,0,19000,27151000
20190430,13,13,7139,0,52,0,2800,19989200
20190430,13,16,1749,0,12,0,600,1049400
20190430,13,10,620,58,4,0,6400,3968000
20190430,13,4,207,17,1,0,12500,2587500
20190430,14,12,15824,1247,177,0,3100,49054400
20190430,14,16,2788,175,19,0,600,1672800
20190430,14,4,791,0,7,0,12500,9887500
20190430,14,18,808,23,4,0,8500,6868000
20190430,15,11,13543,0,78,0,9200,124595600
20190430,15,12,2892,87,27,0,3100,8965200
20190430,15,16,7591,459,68,0,600,4554600
20190430,15,10,3558,0,21,0,6400,22771200
20190430,15,4,2485,76,23,0,12500,31062500
20190430,16,5,55935,2761,623,101,4200,234927000
20190430,16,3,1979,0,19,0,19000,37601000
20190430,16,4,4345,104,33,0,12500,54312500
20190430,16,10,2637,49,23,0,6400,16876800
20190430,16,16,4662,13,48,0,600,2797200
20190430,17,14,5912,0,70,0,4600,27195200
20190430,17,5,2200,130,36,11,4200,9240000
20190430,17,16,1017,82,7,0,600,610200
20190430,17,4,570,0,4,0,12500,7125000
20190430,18,15,14456,999,69,0,11500,166244000
20190430,18,4,2278,0,12,0,12500,28475000
20190430,18,8,2435,139,15,0,4400,10714000
20190430,18,3,1151,0,11,0,19000,21869000
20190430,19,6,27800,475,311,152,5600,155680000
20190430,19,10,17503,327,85,0,6400,112019200
20190430,19,16,8597,0,48,0,600,5158200
20190430,19,4,2978,0,15,0,12500,37225000
20190430,19,3,1185,25,9,0,19000,22515000
20190430,19,7,1760,10,17,5,5100,8976000
20190430,20,10,7848,101,39,0,6400,50227200
20190430,20,8,4889,0,34,0,4400,21511600
20190430,20,4,2874,4,12,0,12500,35925000
20190430,20,16,2987,139,13,0,600,1792200
20190430,20,3,972,0,10,0,19000,18468000
20190430,21,10,16508,1358,193,0,6400,105651200
20190430,21,8,9485,0,53,0,4400,41734000
20190430,21,4,6004,225,42,0,12500,75050000
20190430,21,16,5691,0,50,0,600,3414600
20190430,21,3,2037,27,18,0,19000,38703000
20190430,22,10,8249,605,53,0,6400,52793600
20190430,22,16,8283,311,89,0,600,4969800
20190430,22,17,2394,86,23,0,900,2154600
20190430,22,4,1629,85,18,0,12500,20362500
20190430,23,1,2295,29,18,0,42000,96390000
20190430,23,2,6330,32,66,0,28000,177240000
20190430,23,3,9343,526,111,0,19000,177517000
20190430,23,8,8862,0,62,0,4400,38992800
20190430,23,17,3051,59,33,0,900,2745900
20190430,24,10,8043,138,33,0,6400,51475200
20190430,24,8,5169,237,32,0,4400,22743600
20190430,24,4,2890,0,27,0,12500,36125000
20190430,24,16,2978,88,32,0,600,1786800
20190430,24,3,1031,60,8,0,19000,19589000
20190531,1,7,48802,0,465,241,5100,248890200
20190531,1,9,19692,0,96,0,7800,153597600
20190531,1,3,3870,0,44,0,19000,73530000
20190531,1,4,7854,0,61,0,12500,98175000
20190531,1,16,18446,309,93,0,600,11067600
20190531,2,7,42168,3256,620,165,5100,215056800
20190531,2,10,9034,0,48,0,6400,57817600
20190531,2,4,5027,165,46,0,12500,62837500
20190531,2,16,4031,0,21,0,600,2418600
20190531,3,7,24700,0,184,80,5100,125970000
20190531,3,10,7378,318,47,0,6400,47219200
20190531,3,4,3493,0,27,0,12500,43662500
20190531,3,16,3061,0,16,0,600,1836600
20190531,4,10,19727,0,193,0,6400,126252800
20190531,4,8,12040,0,90,0,4400,52976000
20190531,4,4,7365,203,44,0,12500,92062500
20190531,4,16,7739,206,56,0,600,4643400
20190531,4,3,2438,62,21,0,19000,46322000
20190531,5,10,12000,0,141,0,6400,76800000
20190531,5,8,7711,7,73,0,4400,33928400
20190531,5,4,4409,0,29,0,12500,55112500
20190531,5,16,4311,0,23,0,600,2586600
20190531,5,3,1438,0,12,0,19000,27322000
20190531,6,9,74452,5980,817,0,7800,580725600
20190531,6,10,25067,1395,163,0,6400,160428800
20190531,6,16,13698,0,93,0,600,8218800
20190531,6,3,3681,102,34,0,19000,69939000
20190531,6,4,6194,55,54,0,12500,77425000
20190531,7,10,24908,286,142,0,6400,159411200
20190531,7,8,15253,251,170,0,4400,67113200
20190531,7,4,9427,1001,100,0,12500,117837500
20190531,7,16,8838,0,60,0,600,5302800
20190531,7,3,2965,79,16,0,19000,56335000
20190531,8,10,16607,1190,186,0,6400,106284800
20190531,8,8,9601,111,41,0,4400,42244400
20190531,8,4,5874,0,62,0,12500,73425000
20190531,8,16,6034,203,56,0,600,3620400
20190531,8,3,2056,7,22,0,19000,39064000
20190531,9,10,20546,436,215,0,6400,131494400
20190531,9,8,12354,0,58,0,4400,54357600
20190531,9,4,7560,0,63,0,12500,94500000
20190531,9,16,7592,180,51,0,600,4555200
20190531,9,3,2440,0,14,0,19000,46360000
20190531,10,10,20056,153,226,0,6400,128358400
20190531,10,8,11974,310,134,0,4400,52685600
20190531,10,4,7302,0,50,0,12500,91275000
20190531,10,16,7295,0,40,0,600,4377000
20190531,10,3,2587,238,17,0,19000,49153000
20190531,11,10,30461,0,188,0,6400,194950400
20190531,11,8,19087,5,127,0,4400,83982800
20190531,11,4,11619,292,110,0,12500,145237500
20190531,11,16,12398,776,117,0,600,7438800
20190531,11,3,3956,121,18,0,19000,75164000
20190531,12,10,11910,162,65,0,6400,76224000
20190531,12,8,7338,0,51,0,4400,32287200
20190531,12,4,4487,164,26,0,12500,56087500
20190531,12,16,4443,0,20,0,600,2665800
20190531,12,3,1454,35,10,0,19000,27626000
20190531,13,13,7458,358,39,0,2800,20882400
20190531,13,16,1749,8,8,0,600,1049400
20190531,13,10,591,0,5,0,6400,3782400
20190531,13,4,200,0,2,0,12500,2500000
20190531,14,12,14901,0,127,0,3100,46193100
20190531,14,16,2793,32,27,0,600,1675800
20190531,14,4,775,0,5,0,12500,9687500
20190531,14,18,780,0,5,0,8500,6630000
20190531,15,11,12949,0,70,0,9200,119130800
20190531,15,12,2991,117,18,0,3100,9272100
20190531,15,16,7819,321,93,0,600,4691400
20190531,15,10,3448,0,17,0,6400,22067200
20190531,15,4,2364,0,15,0,12500,29550000
20190531,16,5,58209,2812,538,236,4200,244477800
20190531,16,3,2016,45,8,0,19000,38304000
20190531,16,4,4331,22,36,0,12500,54137500
20190531,16,10,2831,214,20,0,6400,18118400
20190531,16,16,4790,170,42,0,600,2874000
20190531,17,14,5953,77,36,0,4600,27383800
20190531,17,5,2222,50,28,3,4200,9332400
20190531,17,16,1019,13,11,0,600,611400
20190531,17,4,610,47,7,0,12500,7625000
20190531,18,15,13940,0,119,0,11500,160310000
20190531,18,4,2494,230,14,0,12500,31175000
20190531,18,8,2465,54,24,0,4400,10846000
20190531,18,3,1192,51,10,0,19000,22648000
20190531,19,6,28318,872,354,151,5600,158580800
20190531,19,10,17346,35,192,0,6400,111014400
20190531,19,16,9393,880,84,0,600,5635800
20190531,19,4,3121,162,19,0,12500,39012500
20190531,19,3,1245,72,12,0,19000,23655000
20190531,19,7,1875,146,31,10,5100,9562500
20190531,20,10,7816,37,69,0,6400,50022400
20190531,20,8,4928,78,39,0,4400,21683200
20190531,20,4,3097,241,18,0,12500,38712500
20190531,20,16,2941,0,29,0,600,1764600
20190531,20,3,955,0,10,0,19000,18145000
20190531,21,10,15510,0,78,0,6400,99264000
20190531,21,8,9994,591,82,0,4400,43973600
20190531,21,4,6260,313,57,0,12500,78250000
20190531,21,16,6151,503,43,0,600,3690600
20190531,21,3,1942,0,17,0,19000,36898000
20190531,22,10,7808,0,75,0,6400,49971200
20190531,22,16,7849,0,36,0,600,4709400
20190531,22,17,2294,0,22,0,900,2064600
20190531,22,4,1619,8,18,0,12500,20237500
20190531,23,1,2416,140,19,0,42000,101472000
20190531,23,2,6877,583,36,0,28000,192556000
20190531,23,3,9361,87,69,0,19000,177859000
20190531,23,8,8945,126,43,0,4400,39358000
20190531,23,17,2857,0,11,0,900,2571300
20190531,24,10,7892,0,52,0,6400,50508800
20190531,24,8,4757,0,29,0,4400,20930800
20190531,24,4,3053,187,24,0,12500,38162500
20190531,24,16,2960,9,27,0,600,1776000
20190531,24,3,963,0,6,0,19000,18297000
20190630,1,7,50950,2520,372,100,5100,259845000
20190630,1,9,19823,267,136,0,7800,154619400
20190630,1,3,4112,280,38,0,19000,78128000
20190630,1,4,7736,0,49,0,12500,96700000
20190630,1,16,18256,0,154,0,600,10953600
20190630,2,7,42877,1332,623,131,5100,218672700
20190630,2,10,8761,0,59,0,6400,56070400
20190630,2,4,4645,0,47,0,12500,58062500
20190630,2,16,4346,338,23,0,600,2607600
20190630,3,7,25084,798,414,121,5100,127928400
20190630,3,10,7306,0,44,0,6400,46758400
20190630,3,4,3553,74,14,0,12500,44412500
20190630,3,16,3184,138,15,0,600,1910400
