MonthDateKey,DepartmentKey,RoleKey,BudgetedHeadcount,BudgetedAvgMonthlyPayCredits,BudgetedPayrollCostCredits
20200701,1,4,8839,12114,107075646
20200801,1,4,8839,12114,107075646
20200901,1,4,8839,12114,107075646
20201001,1,4,8839,12114,107075646
20201101,1,4,8839,12114,107075646
20201201,1,4,8839,12114,107075646
20210101,1,4,8648,12093,104580264
20210201,1,4,8648,12093,104580264
20210301,1,4,8648,12093,104580264
20210401,1,4,8648,12093,104580264
20210501,1,4,8648,12093,104580264
20210601,1,4,8648,12093,104580264
20210701,1,4,8648,12093,104580264
20210801,1,4,8648,12093,104580264
20210901,1,4,8648,12093,104580264
20211001,1,4,8648,12093,104580264
20211101,1,4,8648,12093,104580264
20211201,1,4,8648,12093,104580264
20220101,1,4,10781,12938,139484578
20220201,1,4,10781,12938,139484578
20220301,1,4,10781,12938,139484578
20220401,1,4,10781,12938,139484578
20220501,1,4,10781,12938,139484578
20220601,1,4,10781,12938,139484578
20220701,1,4,10781,12938,139484578
20220801,1,4,10781,12938,139484578
20220901,1,4,10781,12938,139484578
20221001,1,4,10781,12938,139484578
20221101,1,4,10781,12938,139484578
20221201,1,4,10781,12938,139484578
20230101,1,4,11121,12852,142927092
20230201,1,4,11121,12852,142927092
20230301,1,4,11121,12852,142927092
20230401,1,4,11121,12852,142927092
20230501,1,4,11121,12852,142927092
20230601,1,4,11121,12852,142927092
20230701,1,4,11121,12852,142927092
20230801,1,4,11121,12852,142927092
20230901,1,4,11121,12852,142927092
20231001,1,4,11121,12852,142927092
20231101,1,4,11121,12852,142927092
20231201,1,4,11121,12852,142927092
20240101,1,4,12843,13122,168525846
20240201,1,4,12843,13122,168525846
20240301,1,4,12843,13122,168525846
20240401,1,4,12843,13122,168525846
20240501,1,4,12843,13122,168525846
20240601,1,4,12843,13122,168525846
20240701,1,4,12843,13122,168525846
20240801,1,4,12843,13122,168525846
20240901,1,4,12843,13122,168525846
20241001,1,4,12843,13122,168525846
20241101,1,4,12843,13122,168525846
20241201,1,4,12843,13122,168525846
20190101,1,7,54314,4848,263314272
20190201,1,7,54314,4848,263314272
20190301,1,7,54314,4848,263314272
20190401,1,7,54314,4848,263314272
20190501,1,7,54314,4848,263314272
20190601,1,7,54314,4848,263314272
20190701,1,7,54314,4848,263314272
20190801,1,7,54314,4848,263314272
20190901,1,7,54314,4848,263314272
20191001,1,7,54314,4848,263314272
20191101,1,7,54314,4848,263314272
20191201,1,7,54314,4848,263314272
20200101,1,7,52813,4881,257780253
20200201,1,7,52813,4881,257780253
20200301,1,7,52813,4881,257780253
20200401,1,7,52813,4881,257780253
20200501,1,7,52813,4881,257780253
20200601,1,7,52813,4881,257780253
20200701,1,7,52813,4881,257780253
20200801,1,7,52813,4881,257780253
20200901,1,7,52813,4881,257780253
20201001,1,7,52813,4881,257780253
20201101,1,7,52813,4881,257780253
20201201,1,7,52813,4881,257780253
20210101,1,7,64393,5343,344051799
20210201,1,7,64393,5343,344051799
20210301,1,7,64393,5343,344051799
20210401,1,7,64393,5343,344051799
20210501,1,7,64393,5343,344051799
20210601,1,7,64393,5343,344051799
20210701,1,7,64393,5343,344051799
20210801,1,7,64393,5343,344051799
20210901,1,7,64393,5343,344051799
20211001,1,7,64393,5343,344051799
20211101,1,7,64393,5343,344051799
20211201,1,7,64393,5343,344051799
20220101,1,7,62785,4869,305700165
20220201,1,7,62785,4869,305700165
20220301,1,7,62785,4869,305700165
20220401,1,7,62785,4869,305700165
20220501,1,7,62785,4869,305700165
20220601,1,7,62785,4869,305700165
20220701,1,7,62785,4869,305700165
20220801,1,7,62785,4869,305700165
20220901,1,7,62785,4869,305700165
20221001,1,7,62785,4869,305700165
20221101,1,7,62785,4869,305700165
20221201,1,7,62785,4869,305700165
20230101,1,7,70835,5343,378471405
20230201,1,7,70835,5343,378471405
20230301,1,7,70835,5343,378471405
20230401,1,7,70835,5343,378471405
20230501,1,7,70835,5343,378471405
20230601,1,7,70835,5343,378471405
20230701,1,7,70835,5343,378471405
20230801,1,7,70835,5343,378471405
20230901,1,7,70835,5343,378471405
20231001,1,7,70835,5343,378471405
20231101,1,7,70835,5343,378471405
20231201,1,7,70835,5343,378471405
20240101,1,7,90055,5329,479903095
20240201,1,7,90055,5329,479903095
20240301,1,7,90055,5329,479903095
20240401,1,7,90055,5329,479903095
20240501,1,7,90055,5329,479903095
20240601,1,7,90055,5329,479903095
20240701,1,7,90055,5329,479903095
20240801,1,7,90055,5329,479903095
20240901,1,7,90055,5329,479903095
20241001,1,7,90055,5329,479903095
20241101,1,7,90055,5329,479903095
20241201,1,7,90055,5329,479903095
20190101,1,9,21823,7878,171921594
20190201,1,9,21823,7878,171921594
20190301,1,9,21823,7878,171921594
20190401,1,9,21823,7878,171921594
20190501,1,9,21823,7878,171921594
20190601,1,9,21823,7878,171921594
20190701,1,9,21823,7878,171921594
20190801,1,9,21823,7878,171921594
20190901,1,9,21823,7878,171921594
20191001,1,9,21823,7878,171921594
20191101,1,9,21823,7878,171921594
20191201,1,9,21823,7878,171921594
20200101,1,9,21217,7744,164304448
20200201,1,9,21217,7744,164304448
20200301,1,9,21217,7744,164304448
20200401,1,9,21217,7744,164304448
20200501,1,9,21217,7744,164304448
20200601,1,9,21217,7744,164304448
20200701,1,9,21217,7744,164304448
20200801,1,9,21217,7744,164304448
20200901,1,9,21217,7744,164304448
20201001,1,9,21217,7744,164304448
20201101,1,9,21217,7744,164304448
20201201,1,9,21217,7744,164304448
20210101,1,9,22867,7581,173354727
20210201,1,9,22867,7581,173354727
20210301,1,9,22867,7581,173354727
20210401,1,9,22867,7581,173354727
20210501,1,9,22867,7581,173354727
20210601,1,9,22867,7581,173354727
20210701,1,9,22867,7581,173354727
20210801,1,9,22867,7581,173354727
20210901,1,9,22867,7581,173354727
20211001,1,9,22867,7581,173354727
20211101,1,9,22867,7581,173354727
20211201,1,9,22867,7581,173354727
20220101,1,9,24740,8014,198266360
20220201,1,9,24740,8014,198266360
20220301,1,9,24740,8014,198266360
20220401,1,9,24740,8014,198266360
20220501,1,9,24740,8014,198266360
20220601,1,9,24740,8014,198266360
20220701,1,9,24740,8014,198266360
20220801,1,9,24740,8014,198266360
20220901,1,9,24740,8014,198266360
20221001,1,9,24740,8014,198266360
20221101,1,9,24740,8014,198266360
20221201,1,9,24740,8014,198266360
20230101,1,9,32452,7831,254131612
20230201,1,9,32452,7831,254131612
20230301,1,9,32452,7831,254131612
20230401,1,9,32452,7831,254131612
20230501,1,9,32452,7831,254131612
20230601,1,9,32452,7831,254131612
20230701,1,9,32452,7831,254131612
20230801,1,9,32452,7831,254131612
20230901,1,9,32452,7831,254131612
20231001,1,9,32452,7831,254131612
20231101,1,9,32452,7831,254131612
20231201,1,9,32452,7831,254131612
20240101,1,9,33547,7787,261230489
20240201,1,9,33547,7787,261230489
20240301,1,9,33547,7787,261230489
20240401,1,9,33547,7787,261230489
20240501,1,9,33547,7787,261230489
20240601,1,9,33547,7787,261230489
20240701,1,9,33547,7787,261230489
20240801,1,9,33547,7787,261230489
20240901,1,9,33547,7787,261230489
20241001,1,9,33547,7787,261230489
20241101,1,9,33547,7787,261230489
20241201,1,9,33547,7787,261230489
20190101,1,16,17755,583,10351165
20190201,1,16,17755,583,10351165
20190301,1,16,17755,583,10351165
20190401,1,16,17755,583,10351165
20190501,1,16,17755,583,10351165
20190601,1,16,17755,583,10351165
20190701,1,16,17755,583,10351165
20190801,1,16,17755,583,10351165
20190901,1,16,17755,583,10351165
20191001,1,16,17755,583,10351165
20191101,1,16,17755,583,10351165
20191201,1,16,17755,583,10351165
20200101,1,16,20863,607,12663841
20200201,1,16,20863,607,12663841
20200301,1,16,20863,607,12663841
20200401,1,16,20863,607,12663841
20200501,1,16,20863,607,12663841
20200601,1,16,20863,607,12663841
20200701,1,16,20863,607,12663841
20200801,1,16,20863,607,12663841
20200901,1,16,20863,607,12663841
20201001,1,16,20863,607,12663841
20201101,1,16,20863,607,12663841
20201201,1,16,20863,607,12663841
20210101,1,16,20408,629,12836632
20210201,1,16,20408,629,12836632
20210301,1,16,20408,629,12836632
20210401,1,16,20408,629,12836632
20210501,1,16,20408,629,12836632
20210601,1,16,20408,629,12836632
20210701,1,16,20408,629,12836632
20210801,1,16,20408,629,12836632
20210901,1,16,20408,629,12836632
20211001,1,16,20408,629,12836632
20211101,1,16,20408,629,12836632
20211201,1,16,20408,629,12836632
20220101,1,16,25870,594,15366780
20220201,1,16,25870,594,15366780
20220301,1,16,25870,594,15366780
20220401,1,16,25870,594,15366780
20220501,1,16,25870,594,15366780
20220601,1,16,25870,594,15366780
20220701,1,16,25870,594,15366780
20220801,1,16,25870,594,15366780
20220901,1,16,25870,594,15366780
20221001,1,16,25870,594,15366780
20221101,1,16,25870,594,15366780
20221201,1,16,25870,594,15366780
20230101,1,16,29108,607,17668556
20230201,1,16,29108,607,17668556
20230301,1,16,29108,607,17668556
20230401,1,16,29108,607,17668556
20230501,1,16,29108,607,17668556
20230601,1,16,29108,607,17668556
20230701,1,16,29108,607,17668556
20230801,1,16,29108,607,17668556
20230901,1,16,29108,607,17668556
20231001,1,16,29108,607,17668556
20231101,1,16,29108,607,17668556
20231201,1,16,29108,607,17668556
20240101,1,16,28796,613,17651948
20240201,1,16,28796,613,17651948
20240301,1,16,28796,613,17651948
20240401,1,16,28796,613,17651948
20240501,1,16,28796,613,17651948
20240601,1,16,28796,613,17651948
20240701,1,16,28796,613,17651948
20240801,1,16,28796,613,17651948
20240901,1,16,28796,613,17651948
20241001,1,16,28796,613,17651948
20241101,1,16,28796,613,17651948
20241201,1,16,28796,613,17651948
20190101,2,4,4612,12591,58069692
20190201,2,4,4612,12591,58069692
20190301,2,4,4612,12591,58069692
20190401,2,4,4612,12591,58069692
20190501,2,4,4612,12591,58069692
20190601,2,4,4612,12591,58069692
20190701,2,4,4612,12591,58069692
20190801,2,4,4612,12591,58069692
20190901,2,4,4612,12591,58069692
20191001,2,4,4612,12591,58069692
20191101,2,4,4612,12591,58069692
20191201,2,4,4612,12591,58069692
20200101,2,4,5491,13029,71542239
20200201,2,4,5491,13029,71542239
20200301,2,4,5491,13029,71542239
20200401,2,4,5491,13029,71542239
20200501,2,4,5491,13029,71542239
20200601,2,4,5491,13029,71542239
20200701,2,4,5491,13029,71542239
20200801,2,4,5491,13029,71542239
20200901,2,4,5491,13029,71542239
20201001,2,4,5491,13029,71542239
20201101,2,4,5491,13029,71542239
20201201,2,4,5491,13029,71542239
20210101,2,4,6656,12291,81808896
20210201,2,4,6656,12291,81808896
20210301,2,4,6656,12291,81808896
20210401,2,4,6656,12291,81808896
20210501,2,4,6656,12291,81808896
20210601,2,4,6656,12291,81808896
20210701,2,4,6656,12291,81808896
20210801,2,4,6656,12291,81808896
20210901,2,4,6656,12291,81808896
20211001,2,4,6656,12291,81808896
20211101,2,4,6656,12291,81808896
20211201,2,4,6656,12291,81808896
20220101,2,4,7228,12959,93667652
20220201,2,4,7228,12959,93667652
20220301,2,4,7228,12959,93667652
20220401,2,4,7228,12959,93667652
20220501,2,4,7228,12959,93667652
20220601,2,4,7228,12959,93667652
20220701,2,4,7228,12959,93667652
20220801,2,4,7228,12959,93667652
20220901,2,4,7228,12959,93667652
20221001,2,4,7228,12959,93667652
20221101,2,4,7228,12959,93667652
20221201,2,4,7228,12959,93667652
20230101,2,4,6460,13093,84580780
20230201,2,4,6460,13093,84580780
20230301,2,4,6460,13093,84580780
20230401,2,4,6460,13093,84580780
20230501,2,4,6460,13093,84580780
20230601,2,4,6460,13093,84580780
20230701,2,4,6460,13093,84580780
20230801,2,4,6460,13093,84580780
20230901,2,4,6460,13093,84580780
20231001,2,4,6460,13093,84580780
20231101,2,4,6460,13093,84580780
20231201,2,4,6460,13093,84580780
20240101,2,4,7072,12435,87940320
20240201,2,4,7072,12435,87940320
20240301,2,4,7072,12435,87940320
20240401,2,4,7072,12435,87940320
20240501,2,4,7072,12435,87940320
20240601,2,4,7072,12435,87940320
20240701,2,4,7072,12435,87940320
20240801,2,4,7072,12435,87940320
20240901,2,4,7072,12435,87940320
20241001,2,4,7072,12435,87940320
20241101,2,4,7072,12435,87940320
20241201,2,4,7072,12435,87940320
20190101,2,7,38066,4894,186295004
20190201,2,7,38066,4894,186295004
20190301,2,7,38066,4894,186295004
20190401,2,7,38066,4894,186295004
20190501,2,7,38066,4894,186295004
20190601,2,7,38066,4894,186295004
20190701,2,7,38066,4894,186295004
20190801,2,7,38066,4894,186295004
20190901,2,7,38066,4894,186295004
20191001,2,7,38066,4894,186295004
20191101,2,7,38066,4894,186295004
20191201,2,7,38066,4894,186295004
20200101,2,7,46906,5018,235374308
20200201,2,7,46906,5018,235374308
20200301,2,7,46906,5018,235374308
20200401,2,7,46906,5018,235374308
20200501,2,7,46906,5018,235374308
20200601,2,7,46906,5018,235374308
20200701,2,7,46906,5018,235374308
20200801,2,7,46906,5018,235374308
20200901,2,7,46906,5018,235374308
20201001,2,7,46906,5018,235374308
20201101,2,7,46906,5018,235374308
20201201,2,7,46906,5018,235374308
20210101,2,7,51585,5245,270563325
20210201,2,7,51585,5245,270563325
20210301,2,7,51585,5245,270563325
20210401,2,7,51585,5245,270563325
20210501,2,7,51585,5245,270563325
20210601,2,7,51585,5245,270563325
20210701,2,7,51585,5245,270563325
20210801,2,7,51585,5245,270563325
20210901,2,7,51585,5245,270563325
20211001,2,7,51585,5245,270563325
20211101,2,7,51585,5245,270563325
20211201,2,7,51585,5245,270563325
20220101,2,7,57430,5084,291974120
20220201,2,7,57430,5084,291974120
20220301,2,7,57430,5084,291974120
20220401,2,7,57430,5084,291974120
20220501,2,7,57430,5084,291974120
20220601,2,7,57430,5084,291974120
20220701,2,7,57430,5084,291974120
20220801,2,7,57430,5084,291974120
20220901,2,7,57430,5084,291974120
20221001,2,7,57430,5084,291974120
20221101,2,7,57430,5084,291974120
20221201,2,7,57430,5084,291974120
20230101,2,7,67363,5097,343349211
20230201,2,7,67363,5097,343349211
20230301,2,7,67363,5097,343349211
20230401,2,7,67363,5097,343349211
20230501,2,7,67363,5097,343349211
20230601,2,7,67363,5097,343349211
20230701,2,7,67363,5097,343349211
20230801,2,7,67363,5097,343349211
20230901,2,7,67363,5097,343349211
20231001,2,7,67363,5097,343349211
20231101,2,7,67363,5097,343349211
20231201,2,7,67363,5097,343349211
20240101,2,7,73408,5185,380620480
20240201,2,7,73408,5185,380620480
20240301,2,7,73408,5185,380620480
20240401,2,7,73408,5185,380620480
20240501,2,7,73408,5185,380620480
20240601,2,7,73408,5185,380620480
20240701,2,7,73408,5185,380620480
20240801,2,7,73408,5185,380620480
20240901,2,7,73408,5185,380620480
20241001,2,7,73408,5185,380620480
20241101,2,7,73408,5185,380620480
20241201,2,7,73408,5185,380620480
20190101,2,10,9559,6286,60087874
20190201,2,10,9559,6286,60087874
20190301,2,10,9559,6286,60087874
20190401,2,10,9559,6286,60087874
20190501,2,10,9559,6286,60087874
20190601,2,10,9559,6286,60087874
20190701,2,10,9559,6286,60087874
20190801,2,10,9559,6286,60087874
20190901,2,10,9559,6286,60087874
20191001,2,10,9559,6286,60087874
20191101,2,10,9559,6286,60087874
20191201,2,10,9559,6286,60087874
20200101,2,10,9069,6587,59737503
20200201,2,10,9069,6587,59737503
20200301,2,10,9069,6587,59737503
20200401,2,10,9069,6587,59737503
20200501,2,10,9069,6587,59737503
20200601,2,10,9069,6587,59737503
20200701,2,10,9069,6587,59737503
20200801,2,10,9069,6587,59737503
20200901,2,10,9069,6587,59737503
20201001,2,10,9069,6587,59737503
20201101,2,10,9069,6587,59737503
20201201,2,10,9069,6587,59737503
20210101,2,10,11425,6685,76376125
20210201,2,10,11425,6685,76376125
20210301,2,10,11425,6685,76376125
20210401,2,10,11425,6685,76376125
20210501,2,10,11425,6685,76376125
20210601,2,10,11425,6685,76376125
20210701,2,10,11425,6685,76376125
20210801,2,10,11425,6685,76376125
20210901,2,10,11425,6685,76376125
20211001,2,10,11425,6685,76376125
20211101,2,10,11425,6685,76376125
20211201,2,10,11425,6685,76376125
20220101,2,10,10680,6515,69580200
20220201,2,10,10680,6515,69580200
20220301,2,10,10680,6515,69580200
20220401,2,10,10680,6515,69580200
20220501,2,10,10680,6515,69580200
20220601,2,10,10680,6515,69580200
20220701,2,10,10680,6515,69580200
20220801,2,10,10680,6515,69580200
20220901,2,10,10680,6515,69580200
20221001,2,10,10680,6515,69580200
20221101,2,10,10680,6515,69580200
20221201,2,10,10680,6515,69580200
20230101,2,10,13516,6542,88421672
20230201,2,10,13516,6542,88421672
20230301,2,10,13516,6542,88421672
20230401,2,10,13516,6542,88421672
20230501,2,10,13516,6542,88421672
20230601,2,10,13516,6542,88421672
20230701,2,10,13516,6542,88421672
20230801,2,10,13516,6542,88421672
20230901,2,10,13516,6542,88421672
20231001,2,10,13516,6542,88421672
20231101,2,10,13516,6542,88421672
20231201,2,10,13516,6542,88421672
20240101,2,10,13903,6588,91592964
20240201,2,10,13903,6588,91592964
20240301,2,10,13903,6588,91592964
20240401,2,10,13903,6588,91592964
20240501,2,10,13903,6588,91592964
20240601,2,10,13903,6588,91592964
20240701,2,10,13903,6588,91592964
20240801,2,10,13903,6588,91592964
20240901,2,10,13903,6588,91592964
20241001,2,10,13903,6588,91592964
20241101,2,10,13903,6588,91592964
20241201,2,10,13903,6588,91592964
20190101,2,16,3989,576,2297664
20190201,2,16,3989,576,2297664
20190301,2,16,3989,576,2297664
20190401,2,16,3989,576,2297664
20190501,2,16,3989,576,2297664
20190601,2,16,3989,576,2297664
20190701,2,16,3989,576,2297664
20190801,2,16,3989,576,2297664
20190901,2,16,3989,576,2297664
20191001,2,16,3989,576,2297664
20191101,2,16,3989,576,2297664
20191201,2,16,3989,576,2297664
20200101,2,16,4396,590,2593640
20200201,2,16,4396,590,2593640
20200301,2,16,4396,590,2593640
20200401,2,16,4396,590,2593640
20200501,2,16,4396,590,2593640
20200601,2,16,4396,590,2593640
20200701,2,16,4396,590,2593640
20200801,2,16,4396,590,2593640
20200901,2,16,4396,590,2593640
20201001,2,16,4396,590,2593640
20201101,2,16,4396,590,2593640
20201201,2,16,4396,590,2593640
20210101,2,16,5163,579,2989377
20210201,2,16,5163,579,2989377
20210301,2,16,5163,579,2989377
20210401,2,16,5163,579,2989377
20210501,2,16,5163,579,2989377
20210601,2,16,5163,579,2989377
20210701,2,16,5163,579,2989377
20210801,2,16,5163,579,2989377
20210901,2,16,5163,579,2989377
20211001,2,16,5163,579,2989377
20211101,2,16,5163,579,2989377
20211201,2,16,5163,579,2989377
20220101,2,16,6288,599,3766512
20220201,2,16,6288,599,3766512
20220301,2,16,6288,599,3766512
20220401,2,16,6288,599,3766512
20220501,2,16,6288,599,3766512
20220601,2,16,6288,599,3766512
20220701,2,16,6288,599,3766512
20220801,2,16,6288,599,3766512
20220901,2,16,6288,599,3766512
20221001,2,16,6288,599,3766512
20221101,2,16,6288,599,3766512
20221201,2,16,6288,599,3766512
20230101,2,16,6836,602,4115272
20230201,2,16,6836,602,4115272
20230301,2,16,6836,602,4115272
20230401,2,16,6836,602,4115272
20230501,2,16,6836,602,4115272
20230601,2,16,6836,602,4115272
20230701,2,16,6836,602,4115272
20230801,2,16,6836,602,4115272
20230901,2,16,6836,602,4115272
20231001,2,16,6836,602,4115272
20231101,2,16,6836,602,4115272
20231201,2,16,6836,602,4115272
20240101,2,16,6785,571,3874235
20240201,2,16,6785,571,3874235
20240301,2,16,6785,571,3874235
20240401,2,16,6785,571,3874235
20240501,2,16,6785,571,3874235
20240601,2,16,6785,571,3874235
20240701,2,16,6785,571,3874235
20240801,2,16,6785,571,3874235
20240901,2,16,6785,571,3874235
20241001,2,16,6785,571,3874235
20241101,2,16,6785,571,3874235
20241201,2,16,6785,571,3874235
20190101,3,4,3266,12934,42242444
20190201,3,4,3266,12934,42242444
20190301,3,4,3266,12934,42242444
20190401,3,4,3266,12934,42242444
20190501,3,4,3266,12934,42242444
20190601,3,4,3266,12934,42242444
20190701,3,4,3266,12934,42242444
20190801,3,4,3266,12934,42242444
20190901,3,4,3266,12934,42242444
20191001,3,4,3266,12934,42242444
20191101,3,4,3266,12934,42242444
20191201,3,4,3266,12934,42242444
20200101,3,4,4282,11964,51229848
20200201,3,4,4282,11964,51229848
20200301,3,4,4282,11964,51229848
20200401,3,4,4282,11964,51229848
20200501,3,4,4282,11964,51229848
20200601,3,4,4282,11964,51229848
20200701,3,4,4282,11964,51229848
20200801,3,4,4282,11964,51229848
20200901,3,4,4282,11964,51229848
20201001,3,4,4282,11964,51229848
20201101,3,4,4282,11964,51229848
20201201,3,4,4282,11964,51229848
20210101,3,4,4771,12005,57275855
20210201,3,4,4771,12005,57275855
20210301,3,4,4771,12005,57275855
20210401,3,4,4771,12005,57275855
20210501,3,4,4771,12005,57275855
20210601,3,4,4771,12005,57275855
20210701,3,4,4771,12005,57275855
20210801,3,4,4771,12005,57275855
20210901,3,4,4771,12005,57275855
20211001,3,4,4771,12005,57275855
20211101,3,4,4771,12005,57275855
20211201,3,4,4771,12005,57275855
20220101,3,4,4978,12956,64494968
20220201,3,4,4978,12956,64494968
20220301,3,4,4978,12956,64494968
20220401,3,4,4978,12956,64494968
20220501,3,4,4978,12956,64494968
20220601,3,4,4978,12956,64494968
20220701,3,4,4978,12956,64494968
20220801,3,4,4978,12956,64494968
20220901,3,4,4978,12956,64494968
20221001,3,4,4978,12956,64494968
20221101,3,4,4978,12956,64494968
20221201,3,4,4978,12956,64494968
20230101,3,4,4891,12791,62560781
20230201,3,4,4891,12791,62560781
20230301,3,4,4891,12791,62560781
20230401,3,4,4891,12791,62560781
20230501,3,4,4891,12791,62560781
20230601,3,4,4891,12791,62560781
20230701,3,4,4891,12791,62560781
20230801,3,4,4891,12791,62560781
20230901,3,4,4891,12791,62560781
20231001,3,4,4891,12791,62560781
20231101,3,4,4891,12791,62560781
20231201,3,4,4891,12791,62560781
20240101,3,4,6086,12628,76854008
20240201,3,4,6086,12628,76854008
20240301,3,4,6086,12628,76854008
20240401,3,4,6086,12628,76854008
20240501,3,4,6086,12628,76854008
20240601,3,4,6086,12628,76854008
20240701,3,4,6086,12628,76854008
20240801,3,4,6086,12628,76854008
20240901,3,4,6086,12628,76854008
20241001,3,4,6086,12628,76854008
20241101,3,4,6086,12628,76854008
20241201,3,4,6086,12628,76854008
20190101,3,7,24200,5251,127074200
20190201,3,7,24200,5251,127074200
20190301,3,7,24200,5251,127074200
20190401,3,7,24200,5251,127074200
20190501,3,7,24200,5251,127074200
20190601,3,7,24200,5251,127074200
20190701,3,7,24200,5251,127074200
20190801,3,7,24200,5251,127074200
20190901,3,7,24200,5251,127074200
20191001,3,7,24200,5251,127074200
20191101,3,7,24200,5251,127074200
20191201,3,7,24200,5251,127074200
20200101,3,7,28298,5076,143640648
20200201,3,7,28298,5076,143640648
20200301,3,7,28298,5076,143640648
20200401,3,7,28298,5076,143640648
20200501,3,7,28298,5076,143640648
20200601,3,7,28298,5076,143640648
20200701,3,7,28298,5076,143640648
20200801,3,7,28298,5076,143640648
20200901,3,7,28298,5076,143640648
20201001,3,7,28298,5076,143640648
20201101,3,7,28298,5076,143640648
20201201,3,7,28298,5076,143640648
20210101,3,7,31627,5185,163985995
20210201,3,7,31627,5185,163985995
20210301,3,7,31627,5185,163985995
20210401,3,7,31627,5185,163985995
20210501,3,7,31627,5185,163985995
20210601,3,7,31627,5185,163985995
20210701,3,7,31627,5185,163985995
20210801,3,7,31627,5185,163985995
20210901,3,7,31627,5185,163985995
20211001,3,7,31627,5185,163985995
20211101,3,7,31627,5185,163985995
20211201,3,7,31627,5185,163985995
20220101,3,7,38466,5185,199446210
20220201,3,7,38466,5185,199446210
20220301,3,7,38466,5185,199446210
20220401,3,7,38466,5185,199446210
20220501,3,7,38466,5185,199446210
20220601,3,7,38466,5185,199446210
20220701,3,7,38466,5185,199446210
20220801,3,7,38466,5185,199446210
20220901,3,7,38466,5185,199446210
20221001,3,7,38466,5185,199446210
20221101,3,7,38466,5185,199446210
20221201,3,7,38466,5185,199446210
20230101,3,7,34811,5121,178267131
20230201,3,7,34811,5121,178267131
20230301,3,7,34811,5121,178267131
20230401,3,7,34811,5121,178267131
20230501,3,7,34811,5121,178267131
20230601,3,7,34811,5121,178267131
20230701,3,7,34811,5121,178267131
20230801,3,7,34811,5121,178267131
20230901,3,7,34811,5121,178267131
20231001,3,7,34811,5121,178267131
