SnapshotDateKey,ItemKey,LocationKey,OnHandQty,OnOrderQty,ReorderPoint,UnitCostCredits,InventoryValueCredits,StockStatus
20190107,33,14,137,0,60,5900,808300,In Stock
20190107,34,5,38,0,9,72000,2736000,In Stock
20190107,34,1,38,0,11,72000,2736000,In Stock
20190107,34,4,37,0,10,72000,2664000,In Stock
20190107,35,2,3487,0,1017,45,156915,In Stock
20190107,35,11,931,0,746,45,41895,Low
20190107,36,3,51,332,52,2300,117300,Reorder
20190107,36,13,257,0,69,2300,591100,In Stock
20190107,36,10,152,0,75,2300,349600,In Stock
20190107,37,11,528,0,225,1100,580800,In Stock
20190107,38,10,1151,0,380,1650,1899150,In Stock
20190107,38,11,1092,0,266,1650,1801800,In Stock
20190107,39,8,36,0,11,58000,2088000,In Stock
20190107,39,9,26,0,12,58000,1508000,In Stock
20190107,40,9,212,0,49,3900,826800,In Stock
20190107,40,11,50,0,45,3900,195000,Low
20190114,1,7,368,4463,744,180,66240,Reorder
20190114,1,8,552,4004,972,180,99360,Reorder
20190114,2,4,1222,0,821,90,109980,In Stock
20190114,2,7,527,5079,819,90,47430,Reorder
20190114,2,9,2454,0,1122,90,220860,In Stock
20190114,3,6,214,1060,365,640,136960,Reorder
20190114,4,11,84,1832,221,420,35280,Reorder
20190114,5,9,3475,0,797,75,260625,In Stock
20190114,5,8,1280,0,1066,75,96000,Low
20190114,5,7,2586,0,731,75,193950,In Stock
20190114,6,8,1018,0,339,1200,1221600,In Stock
20190114,6,7,1158,0,380,1200,1389600,In Stock
20190114,6,9,90,1549,339,1200,108000,Reorder
20190114,7,8,271,1349,318,320,86720,Reorder
20190114,8,9,1936,0,827,140,271040,In Stock
20190114,8,7,1517,0,1114,140,212380,In Stock
20190114,8,8,2513,0,768,140,351820,In Stock
20190114,9,10,3295,0,802,60,197700,In Stock
20190114,9,13,1625,0,995,60,97500,In Stock
20190114,10,2,1883,0,1025,110,207130,In Stock
20190114,10,10,3341,0,957,110,367510,In Stock
20190114,10,11,2136,0,1085,110,234960,In Stock
20190114,11,14,106,0,76,4800,508800,In Stock
20190114,12,14,269,0,72,3100,833900,In Stock
20190114,13,14,174,0,49,9500,1653000,In Stock
20190114,14,14,101,0,76,12400,1252400,In Stock
20190114,15,3,613,0,324,240,147120,In Stock
20190114,15,14,1241,0,220,240,297840,In Stock
20190114,16,14,707,0,382,1900,1343300,In Stock
20190114,17,10,150,0,74,7300,1095000,In Stock
20190114,17,12,170,0,47,7300,1241000,In Stock
20190114,17,6,64,281,64,7300,467200,Reorder
20190114,18,12,221,0,74,18600,4110600,In Stock
20190114,18,2,204,0,76,18600,3794400,In Stock
20190114,19,3,83,0,70,5400,448200,Low
20190114,19,11,217,0,75,5400,1171800,In Stock
20190114,20,10,605,0,284,860,520300,In Stock
20190114,21,12,1807,0,1221,140,252980,In Stock
20190114,21,13,3586,0,860,140,502040,In Stock
20190114,22,2,1283,0,366,980,1257340,In Stock
20190114,22,11,1277,0,257,980,1251460,In Stock
20190114,22,12,112,1634,263,980,109760,Reorder
20190114,23,11,136,0,55,6200,843200,In Stock
20190114,24,11,6,46,10,44000,264000,Reorder
20190114,24,2,35,0,12,44000,1540000,In Stock
20190114,24,10,52,0,12,44000,2288000,In Stock
20190114,25,6,9,0,8,21500,193500,Low
20190114,25,11,15,0,9,21500,322500,In Stock
20190114,26,3,563,0,349,310,174530,In Stock
20190114,27,1,149,0,66,2700,402300,In Stock
20190114,28,5,241,0,56,8900,2144900,In Stock
20190114,29,13,1120,0,251,430,481600,In Stock
20190114,29,2,1230,0,243,430,528900,In Stock
20190114,30,5,600,0,218,520,312000,In Stock
20190114,30,11,790,0,268,520,410800,In Stock
20190114,31,4,38,0,8,96000,3648000,In Stock
20190114,31,1,22,0,10,96000,2112000,In Stock
20190114,32,1,130,0,77,3400,442000,In Stock
20190114,32,4,33,248,51,3400,112200,Reorder
20190114,33,1,103,0,62,5900,607700,In Stock
20190114,33,4,208,0,57,5900,1227200,In Stock
20190114,33,14,112,0,60,5900,660800,In Stock
20190114,34,5,36,0,9,72000,2592000,In Stock
20190114,34,1,35,0,11,72000,2520000,In Stock
20190114,34,4,35,0,10,72000,2520000,In Stock
20190114,35,2,3096,0,1017,45,139320,In Stock
20190114,35,11,509,4865,746,45,22905,Reorder
20190114,36,3,38,323,52,2300,87400,Reorder
20190114,36,13,232,0,69,2300,533600,In Stock
20190114,36,10,140,0,75,2300,322000,In Stock
20190114,37,11,450,0,225,1100,495000,In Stock
20190114,38,10,1062,0,380,1650,1752300,In Stock
20190114,38,11,961,0,266,1650,1585650,In Stock
20190114,39,8,34,0,11,58000,1972000,In Stock
20190114,39,9,25,0,12,58000,1450000,In Stock
20190114,40,9,182,0,49,3900,709800,In Stock
20190114,40,11,32,303,45,3900,124800,Reorder
20190121,1,7,6,5019,744,180,1080,Reorder
20190121,1,8,53,5453,972,180,9540,Reorder
20190121,2,4,822,0,821,90,73980,Low
20190121,2,7,45,4728,819,90,4050,Reorder
20190121,2,9,2102,0,1122,90,189180,In Stock
20190121,3,6,148,1124,365,640,94720,Reorder
20190121,4,11,1140,0,221,420,478800,In Stock
20190121,5,9,3023,0,797,75,226725,In Stock
20190121,5,8,786,4754,1066,75,58950,Reorder
20190121,5,7,2214,0,731,75,166050,In Stock
20190121,6,8,918,0,339,1200,1101600,In Stock
20190121,6,7,1029,0,380,1200,1234800,In Stock
20190121,6,9,1111,0,339,1200,1333200,In Stock
20190121,7,8,190,1243,318,320,60800,Reorder
20190121,8,9,1723,0,827,140,241220,In Stock
20190121,8,7,1153,0,1114,140,161420,Low
20190121,8,8,2127,0,768,140,297780,In Stock
20190121,9,10,3095,0,802,60,185700,In Stock
20190121,9,13,4657,0,995,60,279420,In Stock
20190121,10,2,1499,0,1025,110,164890,In Stock
20190121,10,10,3001,0,957,110,330110,In Stock
20190121,10,11,1754,0,1085,110,192940,In Stock
20190121,11,14,269,0,76,4800,1291200,In Stock
20190121,12,14,240,0,72,3100,744000,In Stock
20190121,13,14,159,0,49,9500,1510500,In Stock
20190121,14,14,78,0,76,12400,967200,Low
20190121,15,3,468,0,324,240,112320,In Stock
20190121,15,14,1183,0,220,240,283920,In Stock
20190121,16,14,626,0,382,1900,1189400,In Stock
20190121,17,10,129,0,74,7300,941700,In Stock
20190121,17,12,154,0,47,7300,1124200,In Stock
20190121,17,6,43,305,64,7300,313900,Reorder
20190121,18,12,192,0,74,18600,3571200,In Stock
20190121,18,2,189,0,76,18600,3515400,In Stock
20190121,19,3,61,317,70,5400,329400,Reorder
20190121,19,11,191,0,75,5400,1031400,In Stock
20190121,20,10,472,0,284,860,405920,In Stock
20190121,21,12,1538,0,1221,140,215320,Low
20190121,21,13,3206,0,860,140,448840,In Stock
20190121,22,2,1168,0,366,980,1144640,In Stock
20190121,22,11,1145,0,257,980,1122100,In Stock
20190121,22,12,1091,0,263,980,1069180,In Stock
20190121,23,11,115,0,55,6200,713000,In Stock
20190121,24,11,2,46,10,44000,88000,Reorder
20190121,24,2,32,0,12,44000,1408000,In Stock
20190121,24,10,50,0,12,44000,2200000,In Stock
20190121,25,6,5,43,8,21500,107500,Reorder
20190121,25,11,36,0,9,21500,774000,In Stock
20190121,26,3,503,0,349,310,155930,In Stock
20190121,27,1,128,0,66,2700,345600,In Stock
20190121,28,5,224,0,56,8900,1993600,In Stock
20190121,29,13,1038,0,251,430,446340,In Stock
20190121,29,2,1084,0,243,430,466120,In Stock
20190121,30,5,482,0,218,520,250640,In Stock
20190121,30,11,676,0,268,520,351520,In Stock
20190121,31,4,34,0,8,96000,3264000,In Stock
20190121,31,1,19,0,10,96000,1824000,In Stock
20190121,32,1,103,0,77,3400,350200,In Stock
20190121,32,4,15,269,51,3400,51000,Reorder
20190121,33,1,91,0,62,5900,536900,In Stock
20190121,33,4,196,0,57,5900,1156400,In Stock
20190121,33,14,94,0,60,5900,554600,In Stock
20190121,34,5,34,0,9,72000,2448000,In Stock
20190121,34,1,33,0,11,72000,2376000,In Stock
20190121,34,4,32,0,10,72000,2304000,In Stock
20190121,35,2,2621,0,1017,45,117945,In Stock
20190121,35,11,315,4839,746,45,14175,Reorder
20190121,36,3,19,396,52,2300,43700,Reorder
20190121,36,13,217,0,69,2300,499100,In Stock
20190121,36,10,111,0,75,2300,255300,In Stock
20190121,37,11,386,0,225,1100,424600,In Stock
20190121,38,10,920,0,380,1650,1518000,In Stock
20190121,38,11,856,0,266,1650,1412400,In Stock
20190121,39,8,30,0,11,58000,1740000,In Stock
20190121,39,9,21,0,12,58000,1218000,In Stock
20190121,40,9,158,0,49,3900,616200,In Stock
20190121,40,11,4,270,45,3900,15600,Reorder
20190128,1,7,4157,0,744,180,748260,In Stock
20190128,1,8,3974,0,972,180,715320,In Stock
20190128,2,4,420,5337,821,90,37800,Reorder
20190128,2,7,4092,0,819,90,368280,In Stock
20190128,2,9,1794,0,1122,90,161460,In Stock
20190128,3,6,57,1204,365,640,36480,Reorder
20190128,4,11,1074,0,221,420,451080,In Stock
20190128,5,9,2633,0,797,75,197475,In Stock
20190128,5,8,572,3988,1066,75,42900,Reorder
20190128,5,7,1864,0,731,75,139800,In Stock
20190128,6,8,789,0,339,1200,946800,In Stock
20190128,6,7,955,0,380,1200,1146000,In Stock
20190128,6,9,1004,0,339,1200,1204800,In Stock
20190128,7,8,56,1590,318,320,17920,Reorder
20190128,8,9,1488,0,827,140,208320,In Stock
20190128,8,7,913,3849,1114,140,127820,Reorder
20190128,8,8,1677,0,768,140,234780,In Stock
20190128,9,10,2838,0,802,60,170280,In Stock
20190128,9,13,4386,0,995,60,263160,In Stock
20190128,10,2,1056,0,1025,110,116160,Low
20190128,10,10,2710,0,957,110,298100,In Stock
20190128,10,11,1464,0,1085,110,161040,In Stock
20190128,11,14,244,0,76,4800,1171200,In Stock
20190128,12,14,216,0,72,3100,669600,In Stock
20190128,13,14,129,0,49,9500,1225500,In Stock
20190128,14,14,56,290,76,12400,694400,Reorder
20190128,15,3,1160,0,324,240,278400,In Stock
20190128,15,14,1094,0,220,240,262560,In Stock
20190128,16,14,509,0,382,1900,967100,In Stock
20190128,17,10,103,0,74,7300,751900,In Stock
20190128,17,12,140,0,47,7300,1022000,In Stock
20190128,17,6,19,348,64,7300,138700,Reorder
20190128,18,12,165,0,74,18600,3069000,In Stock
20190128,18,2,176,0,76,18600,3273600,In Stock
20190128,19,3,40,388,70,5400,216000,Reorder
20190128,19,11,163,0,75,5400,880200,In Stock
20190128,20,10,350,0,284,860,301000,Low
20190128,21,12,1346,0,1221,140,188440,Low
20190128,21,13,3000,0,860,140,420000,In Stock
20190128,22,2,1061,0,366,980,1039780,In Stock
20190128,22,11,1051,0,257,980,1029980,In Stock
20190128,22,12,957,0,263,980,937860,In Stock
20190128,23,11,100,0,55,6200,620000,In Stock
20190128,24,11,43,0,10,44000,1892000,In Stock
20190128,24,2,29,0,12,44000,1276000,In Stock
20190128,24,10,47,0,12,44000,2068000,In Stock
20190128,25,6,4,38,8,21500,86000,Reorder
20190128,25,11,33,0,9,21500,709500,In Stock
20190128,26,3,396,0,349,310,122760,Low
20190128,27,1,100,0,66,2700,270000,In Stock
20190128,28,5,212,0,56,8900,1886800,In Stock
20190128,29,13,961,0,251,430,413230,In Stock
20190128,29,2,939,0,243,430,403770,In Stock
20190128,30,5,330,0,218,520,171600,In Stock
20190128,30,11,596,0,268,520,309920,In Stock
20190128,31,4,32,0,8,96000,3072000,In Stock
20190128,31,1,17,0,10,96000,1632000,In Stock
20190128,32,1,76,222,77,3400,258400,Reorder
20190128,32,4,3,268,51,3400,10200,Reorder
20190128,33,1,62,312,62,5900,365800,Reorder
20190128,33,4,166,0,57,5900,979400,In Stock
20190128,33,14,78,0,60,5900,460200,Low
20190128,34,5,32,0,9,72000,2304000,In Stock
20190128,34,1,31,0,11,72000,2232000,In Stock
20190128,34,4,30,0,10,72000,2160000,In Stock
20190128,35,2,2211,0,1017,45,99495,In Stock
20190128,35,11,42,5365,746,45,1890,Reorder
20190128,36,3,273,0,52,2300,627900,In Stock
20190128,36,13,199,0,69,2300,457700,In Stock
20190128,36,10,88,0,75,2300,202400,Low
20190128,37,11,310,0,225,1100,341000,In Stock
20190128,38,10,793,0,380,1650,1308450,In Stock
20190128,38,11,751,0,266,1650,1239150,In Stock
20190128,39,8,27,0,11,58000,1566000,In Stock
20190128,39,9,19,0,12,58000,1102000,In Stock
20190128,40,9,143,0,49,3900,557700,In Stock
20190128,40,11,196,0,45,3900,764400,In Stock
20190204,1,7,3853,0,744,180,693540,In Stock
20190204,1,8,3686,0,972,180,663480,In Stock
20190204,2,4,4960,0,821,90,446400,In Stock
20190204,2,7,3608,0,819,90,324720,In Stock
20190204,2,9,1410,0,1122,90,126900,Low
20190204,3,6,1092,0,365,640,698880,In Stock
20190204,4,11,987,0,221,420,414540,In Stock
20190204,5,9,2160,0,797,75,162000,In Stock
20190204,5,8,378,4840,1066,75,28350,Reorder
20190204,5,7,1388,0,731,75,104100,In Stock
20190204,6,8,651,0,339,1200,781200,In Stock
20190204,6,7,805,0,380,1200,966000,In Stock
20190204,6,9,910,0,339,1200,1092000,In Stock
20190204,7,8,1308,0,318,320,418560,In Stock
20190204,8,9,1212,0,827,140,169680,In Stock
20190204,8,7,709,4174,1114,140,99260,Reorder
20190204,8,8,1170,0,768,140,163800,In Stock
20190204,9,10,2348,0,802,60,140880,In Stock
20190204,9,13,4037,0,995,60,242220,In Stock
20190204,10,2,564,5964,1025,110,62040,Reorder
20190204,10,10,2365,0,957,110,260150,In Stock
20190204,10,11,1265,0,1085,110,139150,Low
20190204,11,14,219,0,76,4800,1051200,In Stock
20190204,12,14,188,0,72,3100,582800,In Stock
20190204,13,14,107,0,49,9500,1016500,In Stock
20190204,14,14,34,278,76,12400,421600,Reorder
20190204,15,3,1094,0,324,240,262560,In Stock
20190204,15,14,959,0,220,240,230160,In Stock
20190204,16,14,1261,0,382,1900,2395900,In Stock
20190204,17,10,223,0,74,7300,1627900,In Stock
20190204,17,12,110,0,47,7300,803000,In Stock
20190204,17,6,231,0,64,7300,1686300,In Stock
20190204,18,12,138,0,74,18600,2566800,In Stock
20190204,18,2,148,0,76,18600,2752800,In Stock
20190204,19,3,22,353,70,5400,118800,Reorder
20190204,19,11,137,0,75,5400,739800,In Stock
20190204,20,10,248,1195,284,860,213280,Reorder
20190204,21,12,1084,3686,1221,140,151760,Reorder
20190204,21,13,2789,0,860,140,390460,In Stock
20190204,22,2,1000,0,366,980,980000,In Stock
20190204,22,11,910,0,257,980,891800,In Stock
20190204,22,12,871,0,263,980,853580,In Stock
20190204,23,11,78,0,55,6200,483600,In Stock
20190204,24,11,39,0,10,44000,1716000,In Stock
20190204,24,2,25,0,12,44000,1100000,In Stock
20190204,24,10,45,0,12,44000,1980000,In Stock
20190204,25,6,2,43,8,21500,43000,Reorder
20190204,25,11,31,0,9,21500,666500,In Stock
20190204,26,3,334,1067,349,310,103540,Reorder
20190204,27,1,70,0,66,2700,189000,Low
20190204,28,5,199,0,56,8900,1771100,In Stock
20190204,29,13,820,0,251,430,352600,In Stock
20190204,29,2,792,0,243,430,340560,In Stock
20190204,30,5,227,0,218,520,118040,Low
20190204,30,11,469,0,268,520,243880,In Stock
20190204,31,4,30,0,8,96000,2880000,In Stock
20190204,31,1,14,0,10,96000,1344000,In Stock
20190204,32,1,64,276,77,3400,217600,Reorder
20190204,32,4,238,0,51,3400,809200,In Stock
20190204,33,1,35,338,62,5900,206500,Reorder
20190204,33,4,140,0,57,5900,826000,In Stock
20190204,33,14,49,261,60,5900,289100,Reorder
20190204,34,5,29,0,9,72000,2088000,In Stock
20190204,34,1,29,0,11,72000,2088000,In Stock
20190204,34,4,28,0,10,72000,2016000,In Stock
20190204,35,2,1864,0,1017,45,83880,In Stock
20190204,35,11,3339,0,746,45,150255,In Stock
20190204,36,3,250,0,52,2300,575000,In Stock
20190204,36,13,181,0,69,2300,416300,In Stock
20190204,36,10,69,222,75,2300,158700,Reorder
20190204,37,11,242,0,225,1100,266200,Low
20190204,38,10,673,0,380,1650,1110450,In Stock
20190204,38,11,656,0,266,1650,1082400,In Stock
20190204,39,8,23,0,11,58000,1334000,In Stock
20190204,39,9,15,0,12,58000,870000,Low
20190204,40,9,114,0,49,3900,444600,In Stock
20190204,40,11,167,0,45,3900,651300,In Stock
20190211,1,7,3616,0,744,180,650880,In Stock
20190211,1,8,3323,0,972,180,598140,In Stock
20190211,2,4,4515,0,821,90,406350,In Stock
20190211,2,7,3402,0,819,90,306180,In Stock
20190211,2,9,1064,5141,1122,90,95760,Reorder
20190211,3,6,1017,0,365,640,650880,In Stock
20190211,4,11,878,0,221,420,368760,In Stock
20190211,5,9,1693,0,797,75,126975,In Stock
20190211,5,8,3698,0,1066,75,277350,In Stock
20190211,5,7,1093,0,731,75,81975,In Stock
20190211,6,8,569,0,339,1200,682800,In Stock
20190211,6,7,687,0,380,1200,824400,In Stock
20190211,6,9,833,0,339,1200,999600,In Stock
20190211,7,8,1170,0,318,320,374400,In Stock
20190211,8,9,864,0,827,140,120960,Low
20190211,8,7,320,4472,1114,140,44800,Reorder
20190211,8,8,2987,0,768,140,418180,In Stock
20190211,9,10,2130,0,802,60,127800,In Stock
20190211,9,13,3819,0,995,60,229140,In Stock
20190211,10,2,296,6067,1025,110,32560,Reorder
20190211,10,10,2138,0,957,110,235180,In Stock
20190211,10,11,1066,5558,1085,110,117260,Reorder
20190211,11,14,189,0,76,4800,907200,In Stock
20190211,12,14,170,0,72,3100,527000,In Stock
20190211,13,14,89,0,49,9500,845500,In Stock
20190211,14,14,9,315,76,12400,111600,Reorder
20190211,15,3,953,0,324,240,228720,In Stock
20190211,15,14,869,0,220,240,208560,In Stock
20190211,16,14,1192,0,382,1900,2264800,In Stock
20190211,17,10,210,0,74,7300,1533000,In Stock
20190211,17,12,92,0,47,7300,671600,In Stock
20190211,17,6,209,0,64,7300,1525700,In Stock
20190211,18,12,114,0,74,18600,2120400,In Stock
20190211,18,2,132,0,76,18600,2455200,In Stock
20190211,19,3,283,0,70,5400,1528200,In Stock
20190211,19,11,126,0,75,5400,680400,In Stock
20190211,20,10,140,1161,284,860,120400,Reorder
20190211,21,12,646,3903,1221,140,90440,Reorder
20190211,21,13,2337,0,860,140,327180,In Stock
20190211,22,2,884,0,366,980,866320,In Stock
20190211,22,11,781,0,257,980,765380,In Stock
20190211,22,12,723,0,263,980,708540,In Stock
20190211,23,11,50,306,55,6200,310000,Reorder
20190211,24,11,38,0,10,44000,1672000,In Stock
20190211,24,2,21,0,12,44000,924000,In Stock
20190211,24,10,41,0,12,44000,1804000,In Stock
20190211,25,6,28,0,8,21500,602000,In Stock
20190211,25,11,29,0,9,21500,623500,In Stock
20190211,26,3,203,1215,349,310,62930,Reorder
20190211,27,1,39,289,66,2700,105300,Reorder
20190211,28,5,182,0,56,8900,1619800,In Stock
20190211,29,13,709,0,251,430,304870,In Stock
20190211,29,2,695,0,243,430,298850,In Stock
20190211,30,5,166,1638,218,520,86320,Reorder
20190211,30,11,1294,0,268,520,672880,In Stock
20190211,31,4,27,0,8,96000,2592000,In Stock
20190211,31,1,11,0,10,96000,1056000,Low
20190211,32,1,43,247,77,3400,146200,Reorder
20190211,32,4,219,0,51,3400,744600,In Stock
20190211,33,1,23,348,62,5900,135700,Reorder
20190211,33,4,109,0,57,5900,643100,In Stock
20190211,33,14,26,305,60,5900,153400,Reorder
20190211,34,5,26,0,9,72000,1872000,In Stock
20190211,34,1,26,0,11,72000,1872000,In Stock
20190211,34,4,26,0,10,72000,1872000,In Stock
20190211,35,2,1443,0,1017,45,64935,In Stock
20190211,35,11,2956,0,746,45,133020,In Stock
20190211,36,3,229,0,52,2300,526700,In Stock
20190211,36,13,163,0,69,2300,374900,In Stock
20190211,36,10,54,226,75,2300,124200,Reorder
20190211,37,11,164,1068,225,1100,180400,Reorder
20190211,38,10,613,0,380,1650,1011450,In Stock
20190211,38,11,572,0,266,1650,943800,In Stock
20190211,39,8,21,0,11,58000,1218000,In Stock
20190211,39,9,11,35,12,58000,638000,Reorder
20190211,40,9,83,0,49,3900,323700,In Stock
20190211,40,11,145,0,45,3900,565500,In Stock
20190218,1,7,3255,0,744,180,585900,In Stock
20190218,1,8,3030,0,972,180,545400,In Stock
20190218,2,4,4255,0,821,90,382950,In Stock
20190218,2,7,2943,0,819,90,264870,In Stock
20190218,2,9,635,5423,1122,90,57150,Reorder
20190218,3,6,901,0,365,640,576640,In Stock
20190218,4,11,745,0,221,420,312900,In Stock
20190218,5,9,1460,0,797,75,109500,In Stock
20190218,5,8,3495,0,1066,75,262125,In Stock
20190218,5,7,603,5145,731,75,45225,Reorder
20190218,6,8,500,0,339,1200,600000,In Stock
20190218,6,7,578,0,380,1200,693600,In Stock
20190218,6,9,771,0,339,1200,925200,In Stock
20190218,7,8,1035,0,318,320,331200,In Stock
20190218,8,9,575,6059,827,140,80500,Reorder
20190218,8,7,3192,0,1114,140,446880,In Stock
20190218,8,8,2510,0,768,140,351400,In Stock
20190218,9,10,1860,0,802,60,111600,In Stock
20190218,9,13,3459,0,995,60,207540,In Stock
20190218,10,2,4063,0,1025,110,446930,In Stock
20190218,10,10,1789,0,957,110,196790,In Stock
20190218,10,11,799,6001,1085,110,87890,Reorder
20190218,11,14,173,0,76,4800,830400,In Stock
20190218,12,14,144,0,72,3100,446400,In Stock
20190218,13,14,167,0,49,9500,1586500,In Stock
20190218,14,14,250,0,76,12400,3100000,In Stock
20190218,15,3,864,0,324,240,207360,In Stock
20190218,15,14,757,0,220,240,181680,In Stock
20190218,16,14,1074,0,382,1900,2040600,In Stock
20190218,17,10,198,0,74,7300,1445400,In Stock
20190218,17,12,69,0,47,7300,503700,In Stock
20190218,17,6,196,0,64,7300,1430800,In Stock
20190218,18,12,87,0,74,18600,1618200,Low
20190218,18,2,111,0,76,18600,2064600,In Stock
20190218,19,3,271,0,70,5400,1463400,In Stock
20190218,19,11,102,0,75,5400,550800,In Stock
20190218,20,10,31,1398,284,860,26660,Reorder
20190218,21,12,403,4177,1221,140,56420,Reorder
20190218,21,13,2069,0,860,140,289660,In Stock
20190218,22,2,784,0,366,980,768320,In Stock
20190218,22,11,651,0,257,980,637980,In Stock
20190218,22,12,593,0,263,980,581140,In Stock
20190218,23,11,21,344,55,6200,130200,Reorder
20190218,24,11,34,0,10,44000,1496000,In Stock
20190218,24,2,17,0,12,44000,748000,In Stock
20190218,24,10,37,0,12,44000,1628000,In Stock
20190218,25,6,24,0,8,21500,516000,In Stock
20190218,25,11,25,0,9,21500,537500,In Stock
20190218,26,3,48,1444,349,310,14880,Reorder
20190218,27,1,17,260,66,2700,45900,Reorder
20190218,28,5,153,0,56,8900,1361700,In Stock
20190218,29,13,638,0,251,430,274340,In Stock
20190218,29,2,584,0,243,430,251120,In Stock
20190218,30,5,34,1754,218,520,17680,Reorder
20190218,30,11,1146,0,268,520,595920,In Stock
20190218,31,4,25,0,8,96000,2400000,In Stock
20190218,31,1,9,34,10,96000,864000,Reorder
20190218,32,1,12,332,77,3400,40800,Reorder
20190218,32,4,189,0,51,3400,642600,In Stock
20190218,33,1,309,0,62,5900,1823100,In Stock
20190218,33,4,91,0,57,5900,536900,In Stock
20190218,33,14,12,332,60,5900,70800,Reorder
20190218,34,5,22,0,9,72000,1584000,In Stock
20190218,34,1,23,0,11,72000,1656000,In Stock
20190218,34,4,22,0,10,72000,1584000,In Stock
20190218,35,2,4021,0,1017,45,180945,In Stock
20190218,35,11,2452,0,746,45,110340,In Stock
20190218,36,3,215,0,52,2300,494500,In Stock
20190218,36,13,133,0,69,2300,305900,In Stock
20190218,36,10,35,290,75,2300,80500,Reorder
20190218,37,11,26,1260,225,1100,28600,Reorder
20190218,38,10,532,0,380,1650,877800,In Stock
20190218,38,11,493,0,266,1650,813450,In Stock
20190218,39,8,18,0,11,58000,1044000,In Stock
20190218,39,9,9,39,12,58000,522000,Reorder
20190218,40,9,61,0,49,3900,237900,Low
20190218,40,11,129,0,45,3900,503100,In Stock
20190225,1,7,2736,0,744,180,492480,In Stock
20190225,1,8,2692,0,972,180,484560,In Stock
20190225,2,4,3784,0,821,90,340560,In Stock
20190225,2,7,2454,0,819,90,220860,In Stock
20190225,2,9,140,5920,1122,90,12600,Reorder
20190225,3,6,795,0,365,640,508800,In Stock
20190225,4,11,639,0,221,420,268380,In Stock
20190225,5,9,1143,0,797,75,85725,In Stock
20190225,5,8,3241,0,1066,75,243075,In Stock
20190225,5,7,222,4646,731,75,16650,Reorder
20190225,6,8,1260,0,339,1200,1512000,In Stock
